Time,Fs_L1,Fs_R1,Fs_L2,Fs_R2,Roll,Pitch,Yaw,Xo,Yo,Vz_SM,Az_SM,Ay_SM,Vx,Jnc_L1,Jnc_L2,Jnc_R1,Jnc_R2,JncR_L1,JncR_L2,JncR_R1,JncR_R2
            0, 0.00430300273001, 3118.51464844, 7654.67529297, 7654.67529297, 0.252120494843,             0,             0,             0,             0,            50, 8.68227175704e-19,             0,             0,             0,             0,             0,             0, 3118.51464844,             0,             0,             0
        0.025, 0.00435449415818, 3118.33276367, 7652.53320312, 7652.53320312, 0.251935273409, -0.00348535552621, 0.347195595503, 0.00398591626436, 1.85038939726e-09,  49.991065979, -1.7486621573e-06, 0.0250000003725, 1.57626104169e-07, -0.27463388443, -0.0224741771817, -0.00344907701947, -0.0224724579602, 3118.33129883, -1.77972197533, -0.243094280362, -1.78021836281
         0.05, 0.00355873280205, 3117.82421875, 7647.32617188, 7647.31689453, 0.251427441835, -0.0149532780051, 0.694325685501, 0.00751528842375, 7.31620161787e-07, 49.9804229736, 4.43407486728e-07, 0.0500000007451, -5.5504347074e-06, -0.668153643608, -0.0771465748549, -0.012863188982, -0.0772450566292, 3117.74047852, -2.43974304199, -0.542045593262, -2.4500374794
        0.075, 0.00210505793802, 3116.83105469, 7641.00488281, 7640.93798828, 0.250616759062, -0.0373863652349, 1.04138028622, 0.0100612211972, 3.17775743497e-06, 49.9682197571, 8.74288980413e-06, 0.0750000029802, -4.23427118221e-05, -1.12284815311, -0.143596425653, -0.0312575958669, -0.144298821688, 3116.58569336, -2.91398406029, -0.926640450954, -2.95670390129
          0.1, 0.000417016097344, 3115.36035156, 7633.46826172, 7633.23242188, 0.249615803361, -0.0704824402928, 1.38834631443, 0.0111616924405, 8.77027196111e-06, 49.9542045593, 2.31214962696e-05, 0.10000000149, -0.0001448783878, -1.50735080242, -0.222929820418, -0.0585462339222, -0.225417047739,  3114.8828125, -3.38319921494, -1.23791873455, -3.48820400238
        0.125, -0.000879621366039, 3113.54345703, 7625.32470703,  7624.7421875, 0.248656734824, -0.111863471568, 1.73520827293, 0.0109186898917, 1.91960025404e-05, 49.9383811951, 4.05982391385e-05,         0.125, -0.000337293196935, -1.78649675846, -0.308783739805, -0.0922415331006, -0.314928114414, 3112.75952148, -3.39532470703, -1.44154191017, -3.58526968956
         0.15, -0.00168054341339, 3111.50512695, 7617.74121094, 7616.60400391, 0.247966691852, -0.159105166793, 2.08195137978, 0.00975598488003, 3.61653910659e-05, 49.9209365845, 5.66113922105e-05, 0.15000000596, -0.000624827749562, -1.98074197769, -0.388848721981, -0.129997760057, -0.400867938995, 3110.34399414, -2.94934844971, -1.56947100163, -3.22849559784
        0.175, -0.00209561618976, 3109.32617188, 7611.56591797, 7609.67626953, 0.247680842876, -0.210344642401, 2.42856383324, 0.00806459784508, 6.11476280028e-05, 49.9021949768, 6.78455471643e-05, 0.17499999702, -0.000994575908408, -2.10696864128, -0.454132139683, -0.170335009694, -0.474122494459, 3107.73339844, -2.24619436264, -1.65043771267, -2.60132312775
          0.2, -0.00220122141764,  3107.0703125, 7607.18701172, 7604.39501953, 0.247820153832, -0.263816803694, 2.77503800392, 0.00614713598043, 9.51214678935e-05, 49.8825645447, 7.22160912119e-05, 0.20000000298, -0.00142016389873, -2.15600323677, -0.500470399857, -0.212127387524, -0.530033051968, 3105.01611328, -1.45889222622, -1.68351769447, -1.86451292038
        0.225, -0.00203986931592, 3104.81616211, 7604.63525391,   7600.859375, 0.248309999704, -0.317319214344, 3.12137007713, 0.00425738515332, 0.00013838292216,  49.862487793, 6.98110961821e-05, 0.22499999404, -0.00186756753828, -2.10601139069, -0.527490198612, -0.25395873189, -0.56749266386, 3102.30297852, -0.720216631889, -1.65035367012, -1.14407706261
         0.25, -0.00166507251561, 3102.66430664, 7603.67138672, 7598.90869141, 0.249021470547, -0.368200540543, 3.46755957603, 0.00260919937864, 0.000190449616639, 49.8423881531, 6.05030691077e-05,          0.25, -0.0023007588461, -1.9464482069, -0.537695407867, -0.293992489576, -0.588168859482, 3099.72607422, -0.126503020525, -1.53932857513, -0.53469234705
        0.275, -0.00115820427891, 3100.71704102, 7603.88623047, 7598.20507812, 0.249813780189, -0.413838326931, 3.81360960007, 0.00135705177672, 0.000249980017543, 49.8226509094, 4.48543651146e-05, 0.27500000596, -0.00268658949062, -1.69079506397, -0.535475194454, -0.330345869064, -0.595626294613, 3097.41601562, 0.268519639969, -1.35910904408, -0.092663154006
          0.3, -0.000617579033133, 3099.05102539, 7604.79394531, 7598.32714844, 0.250561535358, -0.452213048935,  4.1595249176, 0.000574513222091, 0.000314710428938, 49.8035926819, 2.74983176496e-05, 0.300000011921, -0.00299842143431, -1.37174546719, -0.526041567326, -0.361583858728, -0.594367206097, 3095.47265625, 0.451023578644, -1.13515210152, 0.161700889468
        0.325, -0.000132573244628, 3097.70507812, 7605.89794922, 7598.83984375, 0.251164883375, -0.482209950686, 4.50531291962, 0.000250241952017, 0.000382107537007, 49.7854537964, 1.03832253444e-05, 0.324999988079, -0.00321705499664, -1.02641808987, -0.514567792416, -0.386987417936, -0.589046418667, 3093.94921875, 0.436081647873, -0.896905779839, 0.235459029675
         0.35, 0.000239250060986, 3096.68286133, 7606.76123047, 7599.33837891, 0.251549690962, -0.503563523293,  4.8509812355, 0.000306898873532, 0.000449652143288, 49.7683906555, -5.05712978338e-06, 0.34999999404, -0.00333151966333, -0.684245884418, -0.505593836308, -0.40649420023, -0.583868682384, 3092.85717773, 0.257942587137, -0.666062414646, 0.15596242249
        0.375, 0.000478075846331, 3095.96630859, 7607.04492188, 7599.49902344, 0.251666456461, -0.516598820686,  5.1965379715, 0.000633260584436, 0.000514920626301, 49.7524909973, -1.76642206497e-05,         0.375, -0.00333937769756, -0.36305719614, -0.502644240856, -0.42043992877, -0.5822057724, 3092.17822266, -0.0375645384192, -0.452928066254, -0.0387741960585
          0.4, 0.00059280107962, 3095.52880859, 7606.53613281, 7599.10205078, 0.251490861177, -0.521967351437, 5.54199171066, 0.00111431116238, 0.000575649784878, 49.7377700806, -2.82802775473e-05, 0.40000000596, -0.0032459765207, -0.0719940587878, -0.508033156395, -0.429308921099, -0.586411595345, 3091.87963867, -0.400705754757, -0.260003656149, -0.30629503727
