Time,Fs_L1,Fs_R1,Fs_L2,Fs_R2,Roll,Pitch,Yaw,Xo,Yo,Vz_SM,Az_SM,Ay_SM,Vx,Jnc_L1,Jnc_L2,Jnc_R1,Jnc_R2,JncR_L1,JncR_L2,JncR_R1,JncR_R2,Zgnd_L1,Zgnd_L2,Zgnd_R1,Zgnd_R2
            0, 0.00430131983012, 3118.51464844, 7654.67529297, 7654.67529297, 0.252120494843,             0,             0,             0,             0,            50, 6.7648517188e-07,             0,             0,             0,             0,             0,             0, 3118.51464844,             0,             0,             0,             0,             0,             0,             0
        0.025, 0.00365701783448, 3118.13574219,   7652.484375, 7653.44189453, 0.251943081617, 0.00508875725791, 0.347195476294, 0.00369589659385, -4.86144153911e-06,  49.991065979, -3.53559480573e-05, 0.0250000003725, 6.73912509228e-05, 0.445723623037, -0.0229893568903, -0.00885918550193, -0.0129385413602,  3118.6953125, -1.67835867405, -0.63375467062, -0.674630701542, 7.43357759347e-07, -5.55111512313e-17,             0, 5.55111512313e-17
         0.05, 0.00228493800387, 3117.33911133, 7647.97558594, 7651.49560547, 0.25151386857, 0.0146251730621, 0.694324553013, 0.00641484512016, -2.03889685508e-05, 49.9804229736, -0.000143347395351, 0.0500000007451, 0.000498512235936, 0.225028768182, -0.070324473083, -0.0273247417063, -0.0333655625582, 3119.02172852, -2.0877661705, -0.820733368397, -1.11968421936, 5.59803129363e-06, -5.55111512313e-17,             0,             0
        0.075, 0.000291834207019, 3116.29223633, 7642.62255859, 7648.06982422, 0.250899255276, 0.0150378458202, 1.04137682915, 0.00754563091323, -5.02254188177e-05, 49.9682350159, -0.000265807349933, 0.0750000029802, 0.00152139179409, -0.173916220665, -0.12658290565, -0.0499752126634, -0.0693348646164, 3118.89892578, -2.39692473412, -1.00505781174, -1.70432460308, 1.67146372405e-05,             0,             0,             0
          0.1, -0.00123801513109, 3114.95361328, 7636.69921875, 7643.75537109, 0.250240951777, 0.00756926089525, 1.38833880424, 0.00707157282159, -0.000104527105577, 49.9542312622, -0.000281409331365, 0.10000000149, 0.00294145336375, -0.390621423721, -0.18890760839, -0.0778871402144, -0.114672064781, 3118.37744141, -2.54586529732, -1.21990168095, -1.83751225471, 3.07472764689e-05, -5.55111512313e-17,             0,             0
        0.125, -0.00194568396546,    3113.40625, 7630.81591797, 7639.66796875, 0.249736085534, -0.00350901787169, 1.73519551754, 0.00560667784885, -0.000188336518477, 49.9384155273, -0.000179072187166,         0.125, 0.00424257246777, -0.490790396929, -0.250878155231, -0.109851546586, -0.157663598657, 3117.66333008, -2.33959746361, -1.30452024937, -1.54958987236, 4.10162720073e-05,             0, 5.55111512313e-17,             0
         0.15, -0.00199047476053, 3111.86083984, 7625.92919922, 7636.53857422, 0.249558538198, -0.017291745171, 2.08193278313, 0.00383289996535, -0.000296444573905, 49.9209709167, -3.34209944413e-05, 0.15000000596, 0.00502593582496, -0.624628782272, -0.302407562733, -0.141455754638, -0.190599054098, 3116.82641602, -1.72308409214, -1.1952586174, -1.07164597511, 4.32038286817e-05, 5.55111512313e-17,             0,             0
        0.175, -0.00170602428261, 3110.49121094, 7622.83105469, 7634.58691406, 0.249781891704, -0.0353041514754, 2.42853927612, 0.00218831864186, -0.000416383787524, 49.9022254944, 7.84931908129e-05, 0.17499999702, 0.00522465351969, -0.822365164757, -0.335098296404, -0.168711185455, -0.211146444082,  3115.8215332, -0.876610279083, -0.978000640869, -0.577879607677, 3.75783856725e-05,             0,             0, -5.55111512313e-17
          0.2, -0.00132788531482, 3109.34643555, 7621.74169922, 7633.74902344, 0.250349193811, -0.0582842901349,  2.7750082016, 0.000847099814564, -0.000534908671398, 49.8825874329, 0.000128442508867, 0.20000000298, 0.00500918226317, -1.00480604172, -0.346601158381, -0.190447181463, -0.219975247979, 3114.62231445, -0.0705995708704, -0.768846511841, -0.141079217196, 2.72271754511e-05,             0,             0,             0
        0.225, -0.000929293513764, 3108.39160156, 7622.31884766, 7633.84667969, 0.251105815172, -0.0846506133676, 3.12133693695, -0.000150462728925, -0.000642473751213, 49.8624954224, 0.000128181272885, 0.22499999404, 0.00459266919643, -1.08171153069, -0.340583890676, -0.207620367408, -0.21895980835, 3113.29614258, 0.504817724228, -0.613318145275, 0.203874006867, 1.53378277901e-05,             0,             0, 5.55111512313e-17
         0.25, -0.0005043540732, 3107.59448242, 7623.93457031, 7634.62255859, 0.25187087059, -0.111183479428, 3.46752548218, -0.000785275886301, -0.000734357978217, 49.8423805237, 0.000101732344774,          0.25, 0.00411846255884,   -1.01783216, -0.323737233877, -0.22135707736, -0.210852652788, 3111.98510742, 0.797126173973, -0.486865580082, 0.420140892267, 3.82035295843e-06, -5.55111512313e-17,             0,             0
        0.275, -6.73724935041e-05, 3106.96459961, 7625.94873047, 7635.73388672, 0.252501577139, -0.134565740824, 3.81357693672, -0.00103659834713, -0.000809749937616, 49.8226242065, 6.67303611408e-05, 0.27500000596, 0.00365636264905, -0.837326407433, -0.302729487419, -0.231889471412, -0.199241429567, 3110.84057617, 0.849016368389, -0.352661281824, 0.482369959354, -6.58454700897e-06,             0,             0,             0
