Time,Alpha_L1,Alpha_L2,Alpha_R1,Alpha_R2,AVz,Ay,Ay_SM,Az_SM,Bk_Stat,FsExt_L1,FsExt_L2,FsExt_R1,FsExt_R2,Fs_L1,Fs_L2,Fs_R1,Fs_R2,Fx_L1,Fx_L2,Fx_R1,Fx_R2,Fy_L1,Fy_L2,Fy_R1,Fy_R2,Fz_L1,Fz_L2,Fz_R1,Fz_R2,GearStat,JncR_L1,JncR_L2,JncR_R1,JncR_R2,Jnc_L1,Jnc_L2,Jnc_R1,Jnc_R2,Lat_Targ,Lat_Veh,Pitch,PitchGL1,PitchGL2,PitchGR1,PitchGR2,PitchO1,Pitch_A2,Roll,RollGL1,RollGL2,RollGR1,RollGR2,RollO_1,Roll_A2,Roll_E,Roll_L1,Roll_L2,Roll_R1,Roll_R2,Rot_L1,Rot_L2,Rot_R1,Rot_R2,Station,Steer_L1,Steer_R1,Steer_SW,VisO_1,Vx,VxTarget,Vxz_Fwd,Vz_SM,W1_L1,W1_L2,W1_R1,W1_R2,W2_L1,W2_L2,W2_R1,W2_R2,Xctc_L1,Xctc_L2,Xctc_R1,Xctc_R2,Xo,X_A2,X_L1,X_L2,X_Obj_1,X_R1,X_R2,Yaw,YawO_1,Yaw_L1,Yaw_L2,Yaw_R1,Yaw_R2,Yctc_L1,Yctc_L2,Yctc_R1,Yctc_R2,Yo,Y_A2,Y_L1,Y_L2,Y_Obj_1,Y_R1,Y_R2,Zgnd_L1,Zgnd_L2,Zgnd_R1,Zgnd_R2,Zo,Z_A2,Z_L1,Z_L2,Z_Obj_1,Z_R1,Z_R2
0, 0.199998063726, -0, -0.199998063726, -0, 0, -1.479929967706e-21, 8.439989948061e-19, 0.004309108614409, 0, 0, 0.04836808707356, 0, 0.04836808707356, 7654.675257732, 3118.5147, 7654.675257732, 3118.5147, 0.3883352848696, 5.901769907657e-12, 0.3883352848696, 5.901769907657e-12, 0.02406545669712, -0, -0.02406545669712, -0, 5455.378999288, 3958.898720687, 5455.378999288, 3958.898720687, 3, 0, -0, 0, 0, 0, 0, 0, -0, 0, 0, 0.2521204935192, -0, -0, -0, -0, -0, 0.2521204935192, 0, 0, 0, 0, -0, 0, 0, 0, -0.0008800619174435, 0, 0.0008800619174435, -0, 0.0007003304375138, 0.00070033470422, 0.0007003304375138, 0.00070033470422, 0, -0.2, 0.2, 0, 1, 50, 50, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.001716103253121, -2.948299318688, 0.001716103253121, -2.948299318688, 0, -2.948299318688, 0.001716124224018, -2.948299318688, 0, 0.001716124224018, -2.948299318688, 0, 0, -0.199998063726, 0, 0.199998063726, 0, 0.7874939922467, 0.7875, -0.7874939922467, -0.7875, 0, -0, 0.7875, 0.7875, 0, -0.7875, -0.7875, -0, -0, -0, -0, 0.00113648687554, 0.3941137475684, 0.3911327111107, 0.3941137475684, 0, 0.3911327111107, 0.3941137475684
0.025, 0.1979719423694, 4.552972888858e-05, -0.1979714195995, 4.552973839035e-05, 9.640978726323e-06, -1.987809074424e-07, -2.917817319009e-06, 0.005386709389953, 0, 0, 27.67343701513, 0, 27.81708380241, 7652.543654162, 3117.837806085, 7652.543938407, 3117.837623987, -32.68279339895, -21.37959529892, -32.68372342966, -21.37267653188, -132.5987137575, -0.001379153773858, 132.5977346399, -0.001379166017756, 5457.828838745, 3960.02463954, 5457.830581554, 3960.030130964, 3, -1.766681175191, -1.367277756096, -1.767252699485, -1.404779767441, -0.02236477183714, -0.01285535738701, -0.02236178888665, -0.01285989789339, 0, 0, 0.2519858437243, -0, -0, -0, -0, -0, 0.2519858437243, 2.328291493693e-07, 0, 0, 0, 0, 0, 3.979490649775e-07, 2.328314011074e-07, -0.008250804815195, 3.979452163683e-07, 0.008251235304658, 3.979452163683e-07, 0.14126382461, 0.1412565897449, 0.1412638238275, 0.1412565916926, 0.3471950969889, -0.1988707515591, 0.1988692578382, 0, 1, 49.9910747807, 50, 49.99110262089, 0.004398804090351, 0, 0, 0, 0, 0, 0, 0, 0, 0.3489078372213, -2.60111190401, 0.3489078359402, -2.601111904667, 0.3471950969889, -2.601111904338, 0.3489080326844, -2.60111190401, 0, 0.348908031412, -2.601111904667, -8.91816498898e-09, 0, -0.1988363968692, -2.388252257969e-08, 0.1988348834045, -2.388252257969e-08, 0.7874418927244, 0.7875000046074, -0.7874418874691, -0.7874999953926, 2.706212753573e-09, 1.870080648719e-09, 0.7874982162438, 0.7875000018701, 0, -0.7874982139267, -0.7874999981299, 5.551115123126e-17, -0, -0, -0, 0.001153995312074, 0.3941114992326, 0.3911278269431, 0.3941115047021, 0, 0.3911278234709, 0.394111493763
0.05, 0.1971837764225, 0.0002946529728713, -0.1972877676626, 0.0002946534084562, 0.0001158312550425, -7.160808514127e-06, 1.257655560037e-06, 0.005354906635326, 0, 0, 56.48930828291, 0, 59.63713286085, 7647.411155365, 3114.776237903, 7647.394168408, 3114.611355779, -40.14072662536, -27.92950509352, -40.14302202096, -27.92823920761, -192.2373051867, -0.08079033523559, 192.2640641562, -0.08081736064121, 5460.09158175, 3966.850488519, 5460.044841828, 3968.782430343, 3, -2.384936488044, -2.900983533624, -2.404481618158, -3.183558533432, -0.0762547694944, -0.07059858419417, -0.07643322134444, -0.07472007665401, 0, 0, 0.2518834413947, -0, -0, -0, -0, -0, 0.251883441424, -9.877189908183e-06, 0, 0, 0, 0, 0, 0.0001400027602659, -9.877285354875e-06, -0.01279108299212, 0.000140001407384, 0.01277660124321, 0.000140001407384, 0.2817870053493, 0.2817566715696, 0.2817870173071, 0.2817565943242, 0.6943210538006, -0.1984612109875, 0.1984627703499, 0, 1, 49.98045258259, 50, 49.98057027796, 0.009259519042564, 0, 0, 0, 0, 0, 0, 0, 0, 0.6960316821327, -2.253993715765, 0.6960317203236, -2.253994023942, 0.6943210538006, -2.253993869854, 0.6960319844956, -2.253993715765, 0, 0.696032022351, -2.253994023942, 1.399280238793e-06, 0, -0.1984054973723, -1.12109353083e-05, 0.1984099189606, -1.12109353083e-05, 0.7874117382988, 0.7875010938656, -0.7874119303195, -0.7874989061391, -1.105139284192e-07, 1.308953920781e-07, 0.7874990546928, 0.787500130893, 0, -0.7874991478767, -0.7874998691022, -5.551115123126e-17, -0, -0, -0, 0.001203519152139, 0.3940959831474, 0.3911233137957, 0.3940979073922, 0, 0.3911234069252, 0.3940940589025
0.075, 0.1967146806888, -0.0003424279668338, -0.197057414854, -0.0003424276244906, 0.0001252590236817, 6.166820712456e-06, 2.286367746337e-05, 0.00376727380466, 0, 0, 40.3356416565, 0, 36.98349702545, 7641.286735322, 3111.296550474, 7641.173257289, 3110.989744644, -49.95906165381, -36.60615850132, -49.95479321959, -36.66200018274, -218.0498089315, -0.02881301798505, 218.2232668492, -0.02886277443626, 5454.934811717, 3957.752653163, 5454.522569117, 3960.600457545, 3, -2.804711663212, -2.317912110538, -2.866952913857, -2.199839677938, -0.1406325415319, -0.1365304865641, -0.1418261236518, -0.1442208605554, 0, 0, 0.2520655200495, -0, -0, -0, -0, -0, 0.2520655201302, -7.329042777867e-05, 0, 0, 0, 0, 0, 0.0002063729222237, -7.329113703363e-05, -0.01577814946808, 0.0002063709251061, 0.01566732730402, 0.0002063709251061, 0.4222647933571, 0.4222002379581, 0.4222648401652, 0.4222000458104, 1.041364796113, -0.1983393913934, 0.1983459238127, 0, 1, 49.96825801848, 50, 49.96839621591, 0.01332080578144, 0, 0, 0, 0, 0, 0, 0, 0, 1.043075239734, -1.906956977353, 1.043075369046, -1.906957485356, 1.041364796113, -1.906957231355, 1.043075612456, -1.906956977353, 0, 1.043075739182, -1.906957485356, 4.808872826365e-06, 0, -0.1982670879625, -1.84802541298e-05, 0.1982837256075, -1.84802541298e-05, 0.7873930817469, 0.787501301797, -0.7873945384082, -0.7874986982131, -8.268244190089e-07, -1.177455038968e-07, 0.7875007917277, 0.7874998822493, 0, -0.7875014920829, -0.7875001177404, 5.551115123126e-17, -0, -0, -0, 0.001279041003317, 0.3941131941103, 0.3911335811619, 0.3941160305688, 0, 0.3911344025699, 0.3941103576517
0.1, 0.1963358850319, 0.003228069211853, -0.1971504473345, 0.003228120693842, 0.001188589182638, -2.109682465386e-05, -6.167327238519e-05, 0.002615625834152, 0, 0, 65.8718754015, 0, 112.3020194933, 7634.090560138, 3107.453104766, 7633.715680149, 3106.372161735, -60.41968451277, -45.41504704762, -60.45556989868, -45.16868694066, -228.6876023523, -0.3899416260867, 229.0705033803, -0.3905265957508, 5448.256898777, 3933.900822245, 5447.169219504, 3944.470398374, 3, -3.183897587643, -3.707489673187, -3.394065182522, -6.73153734518, -0.2163758940423, -0.2077114194268, -0.2203246096583, -0.2348941587233, 0, 0, 0.2526409012211, -0, -0, -0, -0, -0, 0.2526409022789, -0.0002225605898143, 0, 0, 0, 0, 0, 0.0007659495234233, -0.0002225627534485, -0.0182801489359, 0.0007659420772778, 0.01794816221338, 0.0007659420772778, 0.5626898990328, 0.5625785762312, 0.562690004742, 0.5625782161774, 1.388313228207, -0.1984633429397, 0.1984058671891, 0, 1, 49.95427785884, 50, 49.9545970247, 0.01616933881425, 0, 0, 0, 0, 0, 0, 0, 0, 1.390026042, -1.560013665201, 1.39002640386, -1.560015502743, 1.388313228207, -1.560014583978, 1.390026474063, -1.560013665207, 0, 1.390026828026, -1.560015502749, 1.564041494511e-05, 0, -0.198369027299, -6.684662116679e-05, 0.1983442952238, -6.684662116679e-05, 0.787378200767, 0.7875051647865, -0.7873824387176, -0.7874948353532, -2.425127671236e-06, -1.04404085429e-07, 0.7875029949604, 0.787499895525, 0, -0.7875049671962, -0.7875001043332, -0, -5.551115123126e-17, -0, -0, 0.001370140675463, 0.3941530166773, 0.3911468787002, 0.3941635441436, 0, 0.3911490461084, 0.394142489211
0.125, 0.1968899738219, -0.0333889504577, -0.196906496319, -0.03338387515634, -0.006801130623634, 0.0003465536525368, 0.001250583615403, -0.00421301312436, 0, 0, 252, 0, -188.5281289003, 7626.394279591, 3098.037030538, 7625.474719687, 3099.974462596, -70.71043101957, -53.28204580377, -70.17459037021, -56.81043271301, -232.556548505, 2.688877288118, 233.7203591091, 2.668253094268, 5444.910702729, 3955.511408451, 5441.699808241, 3923.046471807, 3, -3.498579344517, -18.05133848604, -3.228846269943, 9.14997545154, -0.2975000995871, -0.3977075609151, -0.3072008822965, -0.3490956022096, 0, 0, 0.2537882570931, -0, -0, -0, -0, -0, 0.2537882629029, -0.0005848510352341, 0, 0, 0, 0, 0, -0.002352649210833, -0.0005848567726535, -0.02076714397568, -0.002352626131446, 0.01984901334953, -0.002352626131446, 0.7030567150487, 0.7028833089618, 0.7030571698075, 0.7028830971902, 1.73515230216, -0.1983435727428, 0.1989338887738, 0, 1, 49.93848141395, 50, 49.9388191247, 0.0165279605494, 0, 0, 0, 0, 0, 0, 0, 0, 1.736871286173, -1.213187272912, 1.73687201877, -1.213182719568, 1.73515230216, -1.213184996286, 1.736871776707, -1.213187272958, 0, 1.736872489095, -1.213182719614, 1.374698848277e-05, 0, -0.1982397853052, 0.0001656427898068, 0.19886166654, 0.0001656427898068, 0.7873628721383, 0.7874777609283, -0.7873742696577, -0.7875222403928, -6.369188589515e-06, -6.055394463884e-06, 0.7875046468669, 0.7874939439384, 0, -0.7875097786327, -0.7875060547273, -0, -0, -0, -0, 0.001462937274988, 0.3941528304643, 0.3911535386436, 0.39412049487, 0, 0.391159937069, 0.3941851660585
0.15, 0.1998384883361, 0.0751657851025, -0.19473223592, 0.07519039844408, 0.01200631135021, -0.001058619112716, 0.0004077812640145, -0.003925122575131, 0, 0, -302, 0, 302, 7618.017772144, 3098.631025341, 7618.555370682, 3094.903990699, -78.53891948438, -63.90059171786, -78.93766046424, -60.92811737225, -236.721001587, -7.883246490716, 232.88795372, -8.198813382412, 5437.783518296, 3867.866093558, 5444.435509515, 3922.287961961, 3, -3.356524663315, 26.62711170992, -2.729086453124, -30.95588363819, -0.3859290095347, -0.3765454397638, -0.3802495458829, -0.4660267821091, 0, 0, 0.2547752005674, -0, -0, -0, -0, -0, 0.254775218495, 0.0006897855226379, 0, 0, 0, 0, 0, 0.003943811035618, 0.0006897923422033, -0.02177530468744, 0.003943772045506, 0.02278446786604, 0.003943772045506, 0.8433632418844, 0.8431186982299, 0.84336313224, 0.8431217416727, 2.081876322323, -0.1984835868746, 0.1992749904716, 0, 1, 49.92098812915, 50, 49.92120055573, 0.01390571848516, 0, 0, 0, 0, 0, 0, 0, 0, 2.083600831112, -0.866456369209, 2.08360126885, -0.8664640879101, 2.081876322323, -0.8664602286926, 2.083601345871, -0.866456369342, 0, 2.083601809568, -0.8664640880431, -2.839550763548e-06, 0, -0.198391560261, -0.00028079301311, 0.1991728069586, -0.00028079301311, 0.7873665105241, 0.7875371957471, -0.7873499811838, -0.7874628079651, 9.433344186723e-06, 1.005757863744e-05, 0.7875151732354, 0.7875100557037, 0, -0.7875055283005, -0.7874899405464, 5.551115123126e-17, -0, -0, -0, 0.001548060243753, 0.3942408814809, 0.3911677336659, 0.394295086529, 0, 0.3911544800093, 0.3941866764328
0.175, 0.194014836952, -0.09798851264555, -0.2014082347702, -0.0979461792348, -0.01522535998949, 0.00053338225143, -0.000199369428339, -0.008770671097324, 0, 0, 352, 0, -352, 7611.45049727, 3091.219073545, 7611.990385474, 3088.661560805, -85.42635119281, -63.99868690067, -85.07679601602, -71.22862056224, -234.7220176091, 4.472371233683, 236.360692679, 3.914822309435, 5439.085073895, 3886.903038682, 5442.634206463, 3925.920657062, 3, -2.496470821401, -41.64659457233, -2.613578161962, 34.13745016403, -0.4553544449973, -0.5253084552924, -0.449643910236, -0.590248721656, 0, 0, 0.2556289248264, -0, -0, -0, -0, -0, 0.2556289341545, 0.0004659292077164, 0, 0, 0, 0, 0, 0.002827505353933, 0.0004659338450492, -0.02351699068808, 0.002827477212418, 0.02435525077274, 0.002827477212418, 0.9836074968686, 0.9832936741378, 0.9836084865632, 0.9832850385233, 2.428476581459, -0.1987242829066, 0.1994252267133, 0, 1, 49.90224740004, 50, 49.90243544452, 0.01000369165757, 0, 0, 0, 0, 0, 0, 0, 0, 2.430205308675, -0.5198667948939, 2.430206631712, -0.5198715142784, 2.428476581459, -0.5198691546444, 2.430205865164, -0.5198667949522, 0, 2.430207210223, -0.5198715143367, 2.992706630899e-05, 0, -0.19859141037, -0.0001716830535998, 0.1993484766367, -0.0001716830535998, 0.7873550181795, 0.78752455011, -0.7873442534288, -0.7874754518007, 5.555937401393e-06, 5.094959606785e-06, 0.7875155705309, 0.7875050939972, 0, -0.7875105256347, -0.787494904078, -0, -0, -0, -0, 0.001617977081986, 0.3942183026119, 0.391165136226, 0.3942571647815, 0, 0.3911580638507, 0.3941794404422
0.2, 0.2002090966897, 0.11828483983, -0.1961844118301, 0.1183480191676, 0.02012384868291, -4.345284294904e-05, -0.0003376707699932, -0.009315175358584, 0, 0, -402, 0, 402, 7605.943088306, 3080.776134156, 7607.241492517, 3088.755758392, -88.55678282073, -76.41021944337, -88.96261727485, -63.29813238427, -236.3998155439, 0.2540941121377, 235.9097400372, -0.5703131510454, 5445.165614005, 3975.261144939, 5439.152683246, 3873.624045064, 3, -1.814081145903, 44.03344972826, -1.904976054591, -50.07395822349, -0.513639588146, -0.7673160575783, -0.4998933124992, -0.5630582547409, 0, 0, 0.2560129242841, -0, -0, -0, -0, -0, 0.2560130007136, 6.251275300515e-05, 0, 0, 0, 0, 0, -0.007365376546245, 6.251337705712e-05, -0.02530059308866, -0.007365303019893, 0.02516166592043, -0.007365303019893, 1.123792664169, 1.123386529002, 1.12379137853, 1.123399210012, 2.77494822424, -0.1998913192282, 0.198557270416, 0, 1, 49.88254577119, 50, 49.88269783811, 0.006886343961338, 0, 0, 0, 0, 0, 0, 0, 0, 2.776680366059, -0.173414441657, 2.776678351847, -0.173398505, 2.77494822424, -0.1734064738412, 2.776680968463, -0.1734144421696, 0, 2.776678946677, -0.1733985055128, -4.761194605526e-05, 0, -0.1998278766253, 0.0005797480494538, 0.1983992115437, 0.0005797480494538, 0.787342428197, 0.7874391092446, -0.7873433594272, -0.7875609036881, 1.802858283884e-07, -1.022555396906e-05, 0.7875151519803, 0.7874897678991, 0, -0.7875151400484, -0.787510219007, -0, -0, -0, -0, 0.001669654388973, 0.394182382012, 0.39115301841, 0.3940811498417, 0, 0.3911649967762, 0.3942836141824
0.225, 0.1926600643666, -0.1354915532734, -0.2046529453806, -0.1354094847051, -0.0207982419872, -0.0004883457118931, 0.002895584071273, -0.01275123734887, 0, 0, 452, 0, -452, 7603.80238014, 3092.040851723, 7602.498427699, 3071.024862483, -89.92913191401, -58.74737511737, -89.47204767029, -80.59843783634, -235.0318743692, -5.742048113409, 238.7532821375, -7.186618585304, 5445.270273821, 3802.502268894, 5444.76627574, 4059.970496051, 3, -0.621368016105, -57.1455835268, -1.598064362133, 48.84527028157, -0.536312748048, -0.472938493244, -0.5501238436334, -1.000675475489, 0, 0, 0.2565429056656, -0, -0, -0, -0, -0, 0.2565434058997, -0.0005332243537118, 0, 0, 0, 0, 0, 0.01865805366332, -0.0005332296988429, -0.02652299108702, 0.01865786663297, 0.02571535029782, 0.01865786663297, 1.26391442283, 1.26344600062, 1.263918015008, 1.263427825251, 3.121279202063, -0.1971396791792, 0.20149815858, 0, 1, 49.86238464162, 50, 49.86265936297, 0.005598883205564, 0, 0, 0, 0, 0, 0, 0, 0, 3.123009676599, 0.1729405860048, 3.123017087798, 0.1729005869513, 3.121279202063, 0.1729205832182, 3.123010298724, 0.1729405827428, 0, 3.123017705353, 0.1729005836937, 0.0001643134010673, 0, -0.1968585854575, -0.001455096395894, 0.2015493499765, -0.001455096395894, 0.7873324184231, 0.7876489216495, -0.7873440438507, -0.7873511613509, -6.49177345048e-06, 2.052253207184e-05, 0.7875134872904, 0.787520480524, 0, -0.7875195994648, -0.7874794354599, 5.551115123126e-17, -0, 5.551115123126e-17, -0, 0.001700418310605, 0.3941688309285, 0.3911528061503, 0.3944252733722, 0, 0.3911538126439, 0.3939123884847
