Time,Alpha_L1,Alpha_L2,Alpha_R1,Alpha_R2,AVz,Ay,Ay_SM,Az_SM,Bk_Stat,FsExt_L1,FsExt_L2,FsExt_R1,FsExt_R2,Fs_L1,Fs_L2,Fs_R1,Fs_R2,Fx_L1,Fx_L2,Fx_R1,Fx_R2,Fy_L1,Fy_L2,Fy_R1,Fy_R2,Fz_L1,Fz_L2,Fz_R1,Fz_R2,GearStat,JncR_L1,JncR_L2,JncR_R1,JncR_R2,Jnc_L1,Jnc_L2,Jnc_R1,Jnc_R2,Lat_Targ,Lat_Veh,Pitch,PitchGL1,PitchGL2,PitchGR1,PitchGR2,PitchO1,Pitch_A2,Roll,RollGL1,RollGL2,RollGR1,RollGR2,RollO_1,Roll_A2,Roll_E,Roll_L1,Roll_L2,Roll_R1,Roll_R2,Rot_L1,Rot_L2,Rot_R1,Rot_R2,Station,Steer_L1,Steer_R1,Steer_SW,VisO_1,Vx,VxTarget,Vxz_Fwd,Vz_SM,W1_L1,W1_L2,W1_R1,W1_R2,W2_L1,W2_L2,W2_R1,W2_R2,Xctc_L1,Xctc_L2,Xctc_R1,Xctc_R2,Xo,X_A2,X_L1,X_L2,X_Obj_1,X_R1,X_R2,Yaw,YawO_1,Yaw_L1,Yaw_L2,Yaw_R1,Yaw_R2,Yctc_L1,Yctc_L2,Yctc_R1,Yctc_R2,Yo,Y_A2,Y_L1,Y_L2,Y_Obj_1,Y_R1,Y_R2,Zgnd_L1,Zgnd_L2,Zgnd_R1,Zgnd_R2,Zo,Z_A2,Z_L1,Z_L2,Z_Obj_1,Z_R1,Z_R2
0, 0.199998063726, -0, -0.199998063726, -0, 0, 3.29313882107e-23, 8.490485023677e-19, 0.004299386807465, 0, 0.03189824803075, -0.04836808707356, 0.03189824803075, -0.04836808707356, 7654.675257732, 3118.5147, 7654.675257732, 3118.5147, 0.3883352848696, 5.901769907657e-12, 0.3883352848696, 5.901769907657e-12, 0.02406545669712, -0, -0.02406545669712, -0, 5455.378999288, 3958.898720687, 5455.378999288, 3958.898720687, 3, 0, -0, 0, 0, 0, 0, 0, -0, 0, 0, 0.2521204935192, -0, -0, -0, -0, -0, 0.2521204935192, 0, 0, 0, 0, -0, 0, 0, 0, -0.0008800619174435, 0, 0.0008800619174435, -0, 0.0007003304375138, 0.00070033470422, 0.0007003304375138, 0.00070033470422, 0, -0.2, 0.2, 0, 1, 50, 50, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.001716103253121, -2.948299318688, 0.001716103253121, -2.948299318688, 0, -2.948299318688, 0.001716124224018, -2.948299318688, 0, 0.001716124224018, -2.948299318688, 0, 0, -0.199998063726, 0, 0.199998063726, 0, 0.7874939922467, 0.7875, -0.7874939922467, -0.7875, 0, -0, 0.7875, 0.7875, 0, -0.7875, -0.7875, -0, -0, -0, -0, 0.00113648687554, 0.3941137475684, 0.3911327111107, 0.3941137475684, 0, 0.3911327111107, 0.3941137475684
0.025, 0.1980151610321, 2.954888206424e-05, -0.1980156833414, 2.954888606462e-05, 6.402134320353e-06, -2.375760946314e-07, -1.024493505347e-06, 0.003690134698967, 0, -3.654380033637, -15.26692330017, -3.656112369721, -15.40013438155, 7652.478881869, 3118.69551466, 7652.478936958, 3118.693701459, -32.71533115396, -21.65076733115, -32.71575472701, -21.6472681371, -132.5899920376, -0.001974699404274, 132.5894717087, -0.001974711675057, 5457.968939595, 3953.99967386, 5457.970240695, 3954.023935303, 3, -1.681262832477, 0.4192025694659, -1.681630691916, 0.3948215206175, -0.02304451507646, 0.00343881759807, -0.02304393694777, 0.003393624734983, 0, 0, 0.2518948404745, -0, -0, -0, -0, -0, 0.2518948404745, 1.147020285712e-07, 0, 0, 0, 0, 0, 1.758163203879e-06, 1.147031370768e-07, -0.008266012584246, 1.758146212769e-06, 0.008266227050409, 1.758146212769e-06, 0.1412639049155, 0.1412569663342, 0.1412639046839, 0.1412569670184, 0.347195978261, -0.1988722180376, 0.1988717505958, 0, 1, 49.99106108669, 50, 49.99099019551, 0.003706199467111, 0, 0, 0, 0, 0, 0, 0, 0, 0.3489080882757, -2.601109959493, 0.3489080880938, -2.601109963163, 0.347195978261, -2.601109961328, 0.3489082841003, -2.601109959493, 0, 0.348908283923, -2.601109963163, 5.747308306656e-09, 0, -0.1988377935532, -1.335065804333e-07, 0.1988373366587, -1.335065804333e-07, 0.7874418160194, 0.787500015093, -0.787441813358, -0.787499984907, 1.377350894965e-09, 2.999111977097e-09, 0.7874982433133, 0.7875000029991, 0, -0.7874982421155, -0.7874999970009, -0, -0, 5.551115123126e-17, -0, 0.00115439476142, 0.394123482461, 0.3911275478428, 0.3941235066258, 0, 0.3911275452507, 0.3941234582962
0.05, 0.1973136774144, 8.753728836784e-05, -0.1973532984933, 8.753732770782e-05, 3.833187380202e-05, -2.205086084433e-06, -1.609008421253e-08, 0.002337791389661, 0, -9.229072311867, -23.71657266377, -9.2908049926, -24.61395345168, 7647.981079907, 3119.282340026, 7647.9762943, 3119.225252939, -40.21566908214, -28.08797190125, -40.21650799834, -28.08807827802, -192.2213230154, -0.02606247484614, 192.2319219329, -0.02606557523241, 5456.615316702, 3940.894093544, 5456.588148738, 3941.556055248, 3, -2.075969630831, 0.379769533936, -2.080838129071, 0.2927389540721, -0.07026793609739, 0.01474938459553, -0.07031820415902, 0.01332588286131, 0, 0, 0.2512125253778, -0, -0, -0, -0, -0, 0.2512125253813, -3.795706645384e-06, 0, 0, 0, 0, 0, 4.797062715597e-05, -3.795743129468e-06, -0.01264466115893, 4.797016606988e-05, 0.01263863613285, 4.797016606988e-05, 0.2817877924312, 0.2817597329699, 0.2817877972096, 0.2817597048179, 0.6943278297785, -0.1984033272266, 0.1984047914221, 0, 1, 49.98040984258, 50, 49.98027389693, 0.006450388469797, 0, 0, 0, 0, 0, 0, 0, 0, 0.6960339635682, -2.253982489162, 0.6960339781271, -2.25398259506, 0.6943278297785, -2.253982542111, 0.6960342623906, -2.253982489162, 0, 0.6960342768109, -2.25398259506, 5.007643779793e-07, 0, -0.1983492931298, -3.852364039284e-06, 0.1983517852794, -3.852364039284e-06, 0.7874125233348, 0.7875003723224, -0.787412600056, -0.7874996276782, -4.274422684128e-08, 4.232590143933e-08, 0.7874988417308, 0.7875000423256, 0, -0.7874988773343, -0.7874999576738, -0, -0, -0, -0, 0.001204356261217, 0.3941489540349, 0.3911302388482, 0.3941496133593, 0, 0.3911302929767, 0.3941482947105
0.075, 0.1970437913046, 0.0001001297428182, -0.1972030575546, 0.0001001298117758, 0.0001088540868196, -1.598142684626e-06, 5.193722740023e-06, 0.0003428503382351, 0, -18.4533878001, -26.44294321068, -18.75303725317, -27.93376767018, 7642.691209831, 3119.559034818, 7642.66019381, 3119.382179505, -50.06276341637, -36.61636053678, -50.0631052504, -36.62565928885, -217.9998173503, -0.04857534652637, 218.066785362, -0.04859335375122, 5447.413065154, 3931.549983845, 5447.179781434, 3933.366262326, 3, -2.353707750445, 0.06962162433189, -2.373217499908, -0.08166506820379, -0.1258622502047, 0.02036248391692, -0.1261883887345, 0.01595199051254, 0, 0, 0.2500293078137, -0, -0, -0, -0, -0, 0.2500293078432, -2.876892234763e-05, 0, 0, 0, 0, 0, 0.0001316209223754, -2.876919627386e-05, -0.01537668503614, 0.0001316196691453, 0.01532976099012, 0.0001316196691453, 0.4222677200536, 0.4222077748506, 0.4222677412202, 0.4222076827208, 1.041386468251, -0.1983450550522, 0.1983473944002, 0, 1, 49.9682041766, 50, 49.96801552371, 0.007629499589908, 0, 0, 0, 0, 0, 0, 0, 0, 1.043083344445, -1.906932598914, 1.043083407184, -1.906932905809, 1.041386468251, -1.906932752362, 1.043083707717, -1.906932598914, 0, 1.04308376936, -1.906932905809, 2.245872769716e-06, 0, -0.1982775964158, -1.116431011201e-05, 0.1982846322502, -1.116431011201e-05, 0.7873954286227, 0.7875009245319, -0.7873960164461, -0.7874990754722, -3.237389850176e-07, 1.905212135062e-08, 0.7875004020165, 0.78750001905, 0, -0.7875006696236, -0.7874999809458, -0, -0, -0, -0, 0.001278583224232, 0.3941664180805, 0.3911485654653, 0.3941682271228, 0, 0.3911490302598, 0.3941646090382
0.1, 0.1968720295279, 5.852794875671e-05, -0.1972210202593, 5.852799463874e-05, 0.0002288781008556, 4.689193421348e-06, 1.49679819658e-05, -0.00119397724311, 0, -28.00740380302, -25.79533237109, -28.83295548376, -27.79057820177, 7636.906398278, 3119.471647365, 7636.796154175, 3119.113205244, -60.45839681996, -45.8434829661, -60.45569658313, -45.86412581503, -228.6492663303, -0.0504065844176, 228.8380967085, -0.05044439569212, 5436.908735347, 3929.353623701, 5436.1181298, 3932.463533565, 3, -2.475493088887, -0.1309592559579, -2.525642113356, -0.3402800254968, -0.186725078969, 0.01924324759402, -0.1878856448545, 0.01030937272344, 0, 0, 0.2485475693702, -0, -0, -0, -0, -0, 0.2485475694725, -9.951825298383e-05, 0, 0, 0, 0, 0, 0.0002253669593648, -9.951918935909e-05, -0.01745118746899, 0.0002253648388889, 0.01728798019426, 0.0002253648388889, 0.5626961738651, 0.562591599279, 0.5626962327249, 0.5625914353458, 1.388357694852, -0.1983450533189, 0.198347392646, 0, 1, 49.95419188609, 50, 49.95399909248, 0.007196330894193, 0, 0, 0, 0, 0, 0, 0, 0, 1.390043211668, -1.559973035825, 1.390043385491, -1.559973602653, 1.388357694852, -1.559973319239, 1.390043623945, -1.559973035826, 0, 1.390043793947, -1.559973602653, 6.357572023054e-06, 0, -0.1982648592648, -2.062022033845e-05, 0.1982806215485, -2.062022033845e-05, 0.787383166997, 0.787501331432, -0.7873851633015, -0.78749866858, -1.09716974153e-06, -2.189839625495e-07, 0.7875023089554, 0.7874997810099, 0, -0.7875031914937, -0.7875002189778, -0, -0, -0, -0, 0.001361291083604, 0.3941695048204, 0.391169486367, 0.3941726023402, 0, 0.3911710616162, 0.3941664073006
0.125, 0.1969743220347, -9.843894220592e-06, -0.1975207049706, -9.843901350539e-06, 0.0004007569744681, 1.549785977665e-05, 2.637267319313e-05, -0.00191343633126, 0, -33.16179966137, -24.71008376393, -34.80147696497, -27.21336314783, 7631.195938919, 3119.20727953, 7630.9148525, 3118.613054858, -70.24551061047, -54.59419892617, -70.23690699427, -54.62471233905, -232.8758072649, -0.02961381877409, 233.2263033371, -0.02965540552843, 5431.738722228, 3929.953524243, 5430.002935714, 3934.162601388, 3, -2.268917124379, -0.2025985050564, -2.364933729077, -0.4619094302211, -0.2468731743758, 0.01492652189118, -0.2498355639835, 0.0001158486235263, 0, 0, 0.2472400673662, -0, -0, -0, -0, -0, 0.2472400675957, -0.0002335778585342, 0, 0, 0, 0, 0, 0.0003050206809527, -0.0002335800332248, -0.01921520276074, 0.0003050178411311, 0.01883350394516, 0.0003050178411311, 0.7030671061633, 0.702905164208, 0.7030672321017, 0.7029049572734, 1.73522328754, -0.1984655546948, 0.1984648482479, 0, 1, 49.93837447188, 50, 49.93824531691, 0.005767695704048, 0, 0, 0, 0, 0, 0, 0, 0, 1.736898691975, -1.213118258598, 1.736899070108, -1.213119091219, 1.73522328754, -1.21311867491, 1.73689914618, -1.213118258599, 0, 1.73689951536, -1.21311909122, 1.41302156204e-05, 0, -0.1983703559407, -3.028932946052e-05, 0.1983995564946, -3.028932946052e-05, 0.7873729278036, 0.7875013295497, -0.787377462453, -0.7874986704724, -2.498646697123e-06, -7.688363734431e-07, 0.7875041164201, 0.7874992311524, 0, -0.7875060462205, -0.7875007688251, -0, -0, 5.551115123126e-17, -0, 0.001433529553165, 0.3941672150087, 0.3911797813438, 0.3941714073166, 0, 0.3911832399509, 0.3941630227008
0.15, 0.1973613113019, -7.246268713519e-05, -0.1979912266004, -7.246272428085e-05, 0.0006151002905972, 2.680028891553e-05, 3.552702801338e-05, -0.002040285423814, 0, -32.65910581038, -25.07135592813, -35.28275151007, -28.03822164147, 7626.458030075, 3118.855682244, 7625.888195717, 3117.981106229, -78.58156077229, -61.99694479153, -78.56431070902, -62.0346554812, -234.7138263097, 0.002290763994138, 235.2129459112, 0.002269736917581, 5434.027603962, 3927.881157833, 5431.089044135, 3932.864798359, 3, -1.667913615503, -0.2752672361529, -1.815696319183, -0.5728799081086, -0.2968276344648, 0.009085857457236, -0.3028387592848, -0.01271780541806, 0, 0, 0.2465521416219, -0, -0, -0, -0, -0, 0.246552142022, -0.0004317513210571, 0, 0, 0, 0, 0, 0.0003611512205013, -0.0004317553184729, -0.02067130026503, 0.000361147876775, 0.01997436691562, 0.000361147876775, 0.8433763713228, 0.8431456974857, 0.8433765781071, 0.8431455056498, 2.081966051358, -0.1986495763103, 0.1985860915004, 0, 1, 49.92094058917, 50, 49.92091978155, 0.003993325219208, 0, 0, 0, 0, 0, 0, 0, 0, 2.083635728178, -0.8663821245935, 2.083636393335, -0.8663831760344, 2.081966051358, -0.8663826503156, 2.083636217204, -0.8663821245952, 0, 2.083636865864, -0.866383176036, 2.675943453732e-05, 0, -0.1985357049368, -3.824960235987e-05, 0.198528736398, -3.824960235987e-05, 0.7873643230158, 0.78750086433, -0.7873723266226, -0.787499135701, -4.446242891185e-06, -1.620229153541e-06, 0.7875054512502, 0.787498379755, 0, -0.7875086987564, -0.7875016202133, -0, -0, -0, -0, 0.001481614343498, 0.394170571749, 0.3911752183584, 0.3941755355343, 0, 0.3911810737506, 0.3941656079636
0.175, 0.1978537571889, -0.000113423923397, -0.1985372057914, -0.0001134239400637, 0.0008530954780022, 3.51451433065e-05, 4.019276243131e-05, -0.001915581294589, 0, -28.4598487066, -26.77694313168, -32.08055808941, -30.07262371911, 7623.48254689, 3118.352421394, 7622.507622218, 3117.168286963, -84.86572557923, -67.51397415624, -84.84021887775, -67.5565207211, -235.8105671526, 0.03222339325028, 236.4066571115, 0.03223715268788, 5441.486903146, 3921.843541217, 5437.290465108, 3927.300068498, 3, -0.8243531046202, -0.4288008605673, -1.016607841095, -0.7458503715194, -0.3282228455843, 0.0004512196656978, -0.3385133974479, -0.02908304348649, 0, 0, 0.246632306914, -0, -0, -0, -0, -0, 0.2466323075074, -0.000678609131024, 0, 0, 0, 0, 0, 0.0003954200726279, -0.0006786154180857, -0.02170614705138, 0.0003954164092416, 0.0206188301793, 0.0003954164092416, 0.9836222796162, 0.983313604122, 0.9836226329367, 0.9833135038899, 2.428574083782, -0.1987689961988, 0.198705838645, 0, 1, 49.90221156213, 50, 49.90229577942, 0.002237208436962, 0, 0, 0, 0, 0, 0, 0, 0, 2.43024347361, -0.5197755838897, 2.430244613855, -0.5197767541477, 2.428574083782, -0.5197761690207, 2.430243987348, -0.5197755838917, 0, 2.430245101946, -0.5197767541497, 4.508336898841e-05, 0, -0.1986323200555, -4.257196422305e-05, 0.1986640073923, -4.257196422305e-05, 0.7873579289606, 0.7875000443363, -0.7873698588649, -0.7874999557008, -6.673177497903e-06, -2.676058562765e-06, 0.7875061167272, 0.7874973239225, 0, -0.7875106265326, -0.7875026760396, -5.551115123126e-17, -0, 5.551115123126e-17, -0, 0.001501536326275, 0.3941821278694, 0.3911603565849, 0.3941875626575, 0, 0.3911687187645, 0.3941766930813
0.2, 0.1982710053719, -0.0001330693239134, -0.1989134849146, -0.0001330692759922, 0.001090816602952, 3.899875279354e-05, 4.001316309053e-05, -0.001661560592803, 0, -23.38523684563, -28.44721590154, -27.89301751903, -31.89205020318, 7622.534493065, 3117.612735479, 7621.068837452, 3116.11228062, -88.73507413143, -70.90732133446, -88.7021626267, -70.95270458442, -236.7389735132, 0.05325748290781, 237.3652830636, 0.05330534698231, 5450.263656587, 3915.03030015, 5444.932211996, 3920.721131181, 3, -0.0007327589574073, -0.6164529884555, -0.2195283143498, -0.9281396318758, -0.3382297442932, -0.01265729428497, -0.3537035359279, -0.05010606290989, 0, 0, 0.2472956017842, -0, -0, -0, -0, -0, 0.2472956025691, -0.000949442810323, 0, 0, 0, 0, 0, 0.0004123994651201, -0.0009494516539355, -0.02226349755328, 0.0004123956238491, 0.02075498481166, 0.0004123956238491, 1.123805567605, 1.123412147683, 1.123806110856, 1.123412226182, 2.775041920952, -0.1987689959939, 0.1987058382691, 0, 1, 49.88258936591, 50, 49.88273603157, 0.0006477331120801, 0, 0, 0, 0, 0, 0, 0, 0, 2.776715219026, -0.1733055075844, 2.776716988148, -0.1733066448074, 2.775041920952, -0.173306076198, 2.77671574586, -0.1733055075865, 0, 2.776717479502, -0.1733066448095, 6.939648806391e-05, 0, -0.1986053601283, -4.137020957992e-05, 0.1986875033449, -4.137020957992e-05, 0.7873541867581, 0.787499033019, -0.7873698314289, -0.7875009670214, -8.833901039628e-06, -3.804286716304e-06, 0.7875061727606, 0.7874961956927, 0, -0.787511523129, -0.7875038042661, -0, -0, -5.551115123126e-17, -0, 0.001497799151014, 0.3941954666916, 0.3911428715536, 0.39420113485, 0, 0.3911534958265, 0.3941897985333
0.225, 0.198620092942, -0.0001381050564122, -0.1991469864408, -0.0001381049231396, 0.001302884358379, 3.736036475026e-05, 3.469356016122e-05, -0.001215221111054, 0, -19.31132438569, -28.90475012397, -24.52583654863, -32.32885246846, 7623.303953383, 3116.669011932, 7621.305425839, 3114.871379346, -90.07649140054, -72.15715508936, -90.03762561555, -72.20335474676, -237.6055565274, 0.06475034546889, 238.1777715586, 0.06482222639008, 5457.477098871, 3911.571650849, 5451.239904133, 3917.302450087, 3, 0.5931175829994, -0.7259504307203, 0.3703680431135, -1.006512302007, -0.3302081314041, -0.029708402292, -0.3512492413772, -0.07461172117868, 0, 0, 0.2481952952847, -0, -0, -0, -0, -0, 0.2481952962325, -0.001217631784001, 0, 0, 0, 0, 0, 0.000415295883539, -0.001217643208343, -0.02239333794675, 0.0004152919870919, 0.02047374176285, 0.0004152919870919, 1.263928833249, 1.263446780357, 1.26392961003, 1.263447128605, 3.121368905077, -0.1987689962642, 0.198705838392, 0, 1, 49.86250960827, 50, 49.86266647633, -0.0006388222627031, 0, 0, 0, 0, 0, 0, 0, 0, 3.123047985957, 0.1730251439491, 3.123050533373, 0.1730242341888, 3.121368905077, 0.1730246890673, 3.123048515761, 0.1730251439474, 0, 3.123051018128, 0.1730242341872, 9.938511761603e-05, 0, -0.1985744735589, -3.309550639885e-05, 0.1987183976539, -3.309550639885e-05, 0.7873530278788, 0.7874979784714, -0.7873715864402, -0.7875020215697, -1.060233477376e-05, -4.878811362424e-06, 0.7875058946455, 0.7874951211678, 0, -0.7875113536388, -0.7875048787905, 5.551115123126e-17, -0, -0, -0, 0.001479120658095, 0.3942023166222, 0.3911285018023, 0.3942080245895, 0, 0.3911409313943, 0.3941966086548
