Time,Alpha_L1,Alpha_L2,Alpha_R1,Alpha_R2,AVz,Ay,Ay_SM,Az_SM,Bk_Stat,FsExt_L1,FsExt_L2,FsExt_R1,FsExt_R2,Fs_L1,Fs_L2,Fs_R1,Fs_R2,Fx_L1,Fx_L2,Fx_R1,Fx_R2,Fy_L1,Fy_L2,Fy_R1,Fy_R2,Fz_L1,Fz_L2,Fz_R1,Fz_R2,GearStat,JncR_L1,JncR_L2,JncR_R1,JncR_R2,Jnc_L1,Jnc_L2,Jnc_R1,Jnc_R2,Lat_Targ,Lat_Veh,Pitch,PitchGL1,PitchGL2,PitchGR1,PitchGR2,PitchO1,Pitch_A2,Roll,RollGL1,RollGL2,RollGR1,RollGR2,RollO_1,Roll_A2,Roll_E,Roll_L1,Roll_L2,Roll_R1,Roll_R2,Rot_L1,Rot_L2,Rot_R1,Rot_R2,Station,Steer_L1,Steer_R1,Steer_SW,VisO_1,Vx,VxTarget,Vxz_Fwd,Vz_SM,W1_L1,W1_L2,W1_R1,W1_R2,W2_L1,W2_L2,W2_R1,W2_R2,Xctc_L1,Xctc_L2,Xctc_R1,Xctc_R2,Xo,X_A2,X_L1,X_L2,X_Obj_1,X_R1,X_R2,Yaw,YawO_1,Yaw_L1,Yaw_L2,Yaw_R1,Yaw_R2,Yctc_L1,Yctc_L2,Yctc_R1,Yctc_R2,Yo,Y_A2,Y_L1,Y_L2,Y_Obj_1,Y_R1,Y_R2,Zgnd_L1,Zgnd_L2,Zgnd_R1,Zgnd_R2,Zo,Z_A2,Z_L1,Z_L2,Z_Obj_1,Z_R1,Z_R2
0, 0.199998063726, -0, -0.199998063726, -0, 0, -2.879236321171e-11, 6.764851826476e-07, 0.004301320005682, 0, 0.03189824803075, 0.03189824803075, -0.04836808707356, -0.04836808707356, 7654.675257732, 3118.5147, 7654.675257732, 3118.5147, 0.3883352848696, 5.901769907657e-12, 0.3883352848696, 5.901769907657e-12, 0.02406545669712, -0, -0.02406545669712, -0, 5455.378999288, 3958.898720687, 5455.378999288, 3958.898720687, 3, 0, -0, 0, 0, 0, 0, 0, -0, 0, 0, 0.2521204935192, -0, -0, -0, -0, -0, 0.2521204935192, 0, 0, 0, 0, -0, 0, 0, 0, -0.0008800619174435, 0, 0.0008800619174435, -0, 0.0007003304375138, 0.00070033470422, 0.0007003304375138, 0.00070033470422, 0, -0.2, 0.2, 0, 1, 50, 50, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.001716103253121, -2.948299318688, 0.001716103253121, -2.948299318688, 0, -2.948299318688, 0.001716124224018, -2.948299318688, 0, 0.001716124224018, -2.948299318688, 0, 0, -0.199998063726, 0, 0.199998063726, 0, 0.7874939922467, 0.7875, -0.7874939922467, -0.7875, 0, -0, 0.7875, 0.7875, 0, -0.7875, -0.7875, -0, -0, -0, -0, 0.00113648687554, 0.3941137475684, 0.3911327111107, 0.3941137475684, 0, 0.3911327111107, 0.3941137475684
0.025, 0.1983665079719, -0.0009617116793575, -0.1981655797582, -0.0009617062505101, -0.0004276489041373, 2.210492918526e-05, -3.535594853006e-05, 0.003657017768458, 0, -3.608997787481, 6.85109480005, -24.38641436528, -14.72952693657, 7652.484137835, 3118.13562516, 7653.441961972, 3118.695243445, -32.72878337887, -21.53456938954, -32.72603852081, -21.55549067042, -132.6759665586, 0.2549384394508, 132.5827157959, 0.2546728325203, 5457.973321342, 3958.955793087, 5453.857259951, 3952.886418638, 3, -1.678358649275, -0.6337546758561, -0.6746307307713, 0.4457236163023, -0.02298935679063, -0.008859185095083, -0.01293854131943, 0.005088757339259, 0, 0, 0.2519430739682, -0, -0, -0, -0, -0, 0.2519430742798, 6.739124731129e-05, 0, 0, 0, 0, 0, -0.0004398316602528, 6.739189884454e-05, -0.008202636407987, -0.0004398274080363, 0.008094708184429, -0.0004398274080363, 0.1412638515448, 0.1412567204376, 0.1412638644885, 0.1412569673999, 0.3471954700926, -0.1988515449523, 0.1988988100306, 0, 1, 49.99106585907, 50, 49.99102882649, 0.003695896534809, 0, 0, 0, 0, 0, 0, 0, 0, 0.3489079671466, -2.601111203538, 0.3489080203758, -2.601110168163, 0.3471954700926, -2.601110685852, 0.3489081614546, -2.60111120354, 0, 0.3489082121678, -2.601110168165, -4.861441653873e-06, 0, -0.1988222598844, 3.766515252744e-05, 0.198860277182, 3.766515252744e-05, 0.7874425291708, 0.7874966815219, -0.7874422908116, -0.7875033185242, 7.433577476111e-07, -2.930664891215e-07, 0.7874985238309, 0.7874997069101, 0, -0.7874975498664, -0.7875002930431, -5.551115123126e-17, -0, 5.551115123126e-17, -5.551115123126e-17, 0.001153408460388, 0.3941196790604, 0.3911275391764, 0.3941136338667, 0, 0.3911357386066, 0.394125724254
0.05, 0.1986610021444, 7.69575879076e-05, -0.1964050860547, 7.695724648751e-05, -0.0008440978755538, -3.356506223723e-05, -0.0001433473982801, 0.002284938068638, 0, -9.364924429734, 9.386072137625, -37.53595903211, -25.54280405416, 7647.97569783, 3117.339168839, 7651.495501011, 3119.021836747, -40.20809900139, -28.0524667047, -40.13607089191, -27.94270204216, -192.8561920085, 0.2841354955884, 191.658076007, 0.2831005930665, 5456.358796024, 3953.932218079, 5444.686466923, 3939.7601521, 3, -2.087766071454, -0.8207333782146, -1.119684180304, 0.2250287733361, -0.07032446948575, -0.02732474177855, -0.03336556343379, 0.01462517262706, 0, 0, 0.2515138797372, -0, -0, -0, -0, -0, 0.2515138819261, 0.0004985122498622, 0, 0, 0, 0, 0, -0.001027012446893, 0.0004985170530324, -0.01217479227925, -0.001027002551714, 0.01225043354828, -0.001027002551714, 0.281787405966, 0.2817584436959, 0.2817873440406, 0.2817594120886, 0.6943245614175, -0.1983908951183, 0.1983478861415, 0, 1, 49.98042478885, 50, 49.98036518888, 0.00641484492179, 0, 0, 0, 0, 0, 0, 0, 0, 0.6960330646733, -2.253987350866, 0.6960330014847, -2.253984431383, 0.6943245614175, -2.253985891137, 0.6960333524072, -2.253987350879, 0, 0.6960332909007, -2.253984431396, -2.038896787467e-05, 0, -0.1983597509599, 0.0001062057511532, 0.1982756322701, 0.0001062057511532, 0.7874179431852, 0.7874937198439, -0.7874115477336, -0.7875062804064, 5.598031351556e-06, 7.844708945784e-07, 0.7875010541441, 0.787500784343, 0, -0.7874951800278, -0.7874992154012, -5.551115123126e-17, -0, -0, -5.551115123126e-17, 0.001198029987113, 0.3941377565401, 0.3911307505403, 0.3941236409365, 0, 0.3911540020813, 0.3941518721437
0.075, 0.1992794751682, 0.001431847969619, -0.1950217931186, 0.001431845970285, -0.001618598958353, -0.0001909035556025, -0.0002658073601535, 0.000291834208137, 0, -19.06997797204, 4.850718669714, -42.36309999366, -28.76028157033, 7642.622674648, 3116.292266324, 7648.069910763, 3118.898910813, -50.03267556022, -36.58813393063, -49.97014350647, -36.48238227339, -219.6197045845, -0.2345875840086, 216.4972113426, -0.2348302694671, 5446.343280349, 3942.92470019, 5438.599370065, 3931.294254853, 3, -2.396924631295, -1.005057761022, -1.704324626904, -0.1739162185689, -0.1265829115402, -0.04997521095567, -0.06933486480639, 0.01503784578324, 0, 0, 0.2508992542054, -0, -0, -0, -0, -0, 0.25089925699, 0.001521391757484, 0, 0, 0, 0, 0, -0.0008428278261895, 0.001521406344552, -0.01392986867948, -0.0008428197452536, 0.01548061275079, -0.0008428197452536, 0.4222665131417, 0.4222050026371, 0.422266205076, 0.4222063990919, 1.041376851342, -0.1982141502138, 0.1982204340937, 0, 1, 49.96823312301, 50, 49.96816699186, 0.007545631108136, 0, 0, 0, 0, 0, 0, 0, 0, 1.043080393187, -1.90694212691, 1.043079706942, -1.906938205004, 1.041376851342, -1.906940165971, 1.04308072216, -1.906942126924, 0, 1.043080072366, -1.906938205018, -5.022541740855e-05, 0, -0.198205275646, 0.0001426721598547, 0.1981043205541, 0.0001426721598547, 0.7874117943702, 0.7874994018705, -0.7873862457752, -0.787500598295, 1.67146363525e-05, 5.199831444178e-06, 0.7875068911718, 0.7875051997438, 0, -0.7874919334064, -0.7874948000809, -0, -0, -0, -0, 0.001260162012359, 0.3941571523926, 0.3911506990368, 0.3941455682837, 0, 0.3911661224352, 0.3941687365015
0.1, 0.1990727671368, 0.001617424774432, -0.1951920254837, 0.001617426282071, -0.00276114193326, -0.0002977673054848, -0.0002814093260698, -0.001238015187526, 0, -29.01943735643, -1.777430181803, -40.74969211204, -28.01188401999, 7636.699078208, 3114.953497996, 7643.755520591, 3118.377337654, -60.46981479455, -45.78247158419, -60.47829465801, -45.7508042533, -231.0025130361, -0.7002347606601, 226.7997134503, -0.7005245205326, 5435.158370358, 3931.471505842, 5438.47419552, 3929.178215515, 3, -2.545865281292, -1.219901680541, -1.837512280297, -0.3906214327809, -0.1889076073328, -0.0778871431144, -0.1146720673355, 0.007569260685564, 0, 0, 0.2502409613373, -0, -0, -0, -0, -0, 0.250240962061, 0.002941453376883, 0, 0, 0, 0, 0, -0.0001661887183374, 0.002941481431669, -0.01459026868846, -0.0001661871332895, 0.01851576467995, -0.0001661871332895, 0.5626938179302, 0.5625870717599, 0.5626930860336, 0.5625884857748, 1.388338842355, -0.1980927054931, 0.1984614965227, 0, 1, 49.95423169672, 50, 49.9541807032, 0.007071572964477, 0, 0, 0, 0, 0, 0, 0, 0, 1.390037442546, -1.55998782951, 1.390035553002, -1.559983846319, 1.388338842355, -1.559985837917, 1.390037787013, -1.559987829513, 0, 1.390035990455, -1.559983846322, -0.0001045271049613, 0, -0.1981353957974, 0.000144901607849, 0.1982779969861, 0.000144901607849, 0.7874138969388, 0.7875101783042, -0.7873627438406, -0.7874898216974, 3.074727535965e-05, 1.132160041399e-05, 0.787513507851, 0.7875113215946, 0, -0.7874891528243, -0.7874886783938, -5.551115123126e-17, -0, -0, -0, 0.00132522878719, 0.3941706676066, 0.3911729786112, 0.3941683834528, 0, 0.3911663656393, 0.3941729517603
0.125, 0.1981571521163, 0.0007901233142954, -0.1964618428009, 0.0007901258136655, -0.003903720576038, -0.0002614807546816, -0.0001790721879351, -0.001945683961673, 0, -34.18040676858, -6.593255689041, -37.28857348861, -27.65806607031, 7630.815930682, 3113.406318782, 7639.667773888, 3117.66321217, -70.33154967119, -54.53096970209, -70.39924835521, -54.54471426544, -235.1456064039, -0.697831212576, 231.6210349864, -0.6989929382403, 5429.792978412, 3924.085951194, 5441.531771875, 3929.266273389, 3, -2.339597544571, -1.304520216103, -1.54958987155, -0.4907903828601, -0.2508781460765, -0.109851546318, -0.1576635981631, -0.003509017781369, 0, 0, 0.2497360828417, -0, -0, -0, -0, -0, 0.2497360808176, 0.004242572550833, 0, 0, 0, 0, 0, 0.0003754043101001, 0.004242612852225, -0.01496202894105, 0.0003754007440628, 0.02108253356134, 0.0003754007440628, 0.7030637403845, 0.7028988722756, 0.7030622431082, 0.702900093634, 1.735195484869, -0.1980927028955, 0.198587865757, 0, 1, 49.93841526555, 50, 49.93840206813, 0.005606677885266, 0, 0, 0, 0, 0, 0, 0, 0, 1.736890692972, -1.213137796756, 1.736886677356, -1.213134511423, 1.735195484869, -1.213136154084, 1.736891046373, -1.21313779675, 0, 1.736887175523, -1.213134511417, -0.0001883365198275, 0, -0.198217701713, 0.0001195147446422, 0.1983095274789, 0.0001195147446422, 0.7874151485131, 0.787518577323, -0.7873454168782, -0.7874814227074, 4.101627153694e-05, 1.599466225015e-05, 0.7875173003031, 0.7875159946436, 0, -0.7874893472085, -0.7874840053191, -0, 5.551115123126e-17, -0, -0, 0.001379984301322, 0.3941779360228, 0.391183665988, 0.3941830957063, 0, 0.3911602687947, 0.3941727763394
0.15, 0.1973871635336, -0.0001349268811991, -0.1980676072762, -0.0001349276800955, -0.004655042375838, -0.0001239006956606, -3.342099342079e-05, -0.001990474705085, 0, -33.62670464087, -9.161022427544, -34.49371632522, -29.08689687511, 7625.929069306, 3111.860765598, 7636.538411543, 3116.826433868, -78.70928144515, -61.99274290429, -78.78796134142, -62.00060209045, -236.1652585791, -0.3405001563885, 234.5149033032, -0.3414898628693, 5431.951446271, 3920.829210974, 5445.168504754, 3927.876315361, 3, -1.723084148675, -1.195258656311, -1.071645927415, -0.6246288056808, -0.3024075663311, -0.1414557575565, -0.1905990603427, -0.01729174562152, 0, 0, 0.2495585325722, -0, -0, -0, -0, -0, 0.2495585293564, 0.005025935798319, 0, 0, 0, 0, 0, 0.0005106850935269, 0.005025983473237, -0.01542473502569, 0.0005106802493268, 0.02279220800111, 0.0005106802493268, 0.8433726743623, 0.8431380786441, 0.8433701072286, 0.8431389229006, 2.081932665183, -0.198343349228, 0.1986465426092, 0, 1, 49.92097126503, 50, 49.92101106463, 0.00383289991731, 0, 0, 0, 0, 0, 0, 0, 0, 2.083627375109, -0.8664044966204, 2.083620426511, -0.8664027734954, 2.081932665183, -0.8664036350541, 2.083627740091, -0.8664044966165, 0, 2.083620964912, -0.8664027734916, -0.0002964445604989, 0, -0.1985744857514, 6.268430831536e-05, 0.198252714066, 6.268430831536e-05, 0.787410863353, 0.7875209976706, -0.78733813934, -0.7874790023911, 4.320382903413e-05, 1.748427014089e-05, 0.7875161730637, 0.7875174842384, 0, -0.7874937387256, -0.7874825156981, 5.551115123126e-17, -0, -0, -0, 0.001416428167751, 0.3941825642011, 0.3911793654137, 0.3941895832294, 0, 0.3911530198385, 0.3941755451729
0.175, 0.1971602472212, -0.0005608673428512, -0.1990771068994, -0.0005608721952917, -0.004849749772052, 1.712830731608e-05, 7.849319067895e-05, -0.001706024249131, 0, -29.71705696136, -10.90635584165, -32.52530228746, -31.32045391175, 7622.831148272, 3110.491201264, 7634.587070943, 3115.821585186, -84.97343116971, -67.58702607157, -85.02924916568, -67.57369820412, -236.2611799831, 0.03432688991224, 236.515327351, 0.03395218582518, 5438.869110951, 3919.245043849, 5448.741481285, 3924.396032721, 3, -0.8766102559067, -0.9780006344933, -0.5778795873291, -0.8223651871325, -0.3350982973581, -0.1687111821561, -0.2111464489449, -0.03530415146676, 0, 0, 0.249781898601, -0, -0, -0, -0, -0, 0.2497818960773, 0.005224653713, 0, 0, 0, 0, 0, 0.00037327860269, 0.00522470336167, -0.01597894220162, 0.000373275055544, 0.02359109559793, 0.000373275055544, 0.9836190210633, 0.9833054998965, 0.9836151439742, 0.9833056408095, 2.428539270896, -0.1986584557661, 0.1984623830307, 0, 1, 49.90222533578, 50, 49.9023180852, 0.002188318592142, 0, 0, 0, 0, 0, 0, 0, 0, 2.430236718544, -0.5197982696591, 2.430226293342, -0.5197990876752, 2.428539270896, -0.5197986786685, 2.43023709745, -0.5197982696604, 0, 2.43022684974, -0.5197990876766, -0.0004163837839745, 0, -0.1990070612485, -2.975801566554e-05, 0.1979450457148, -2.975801566554e-05, 0.7874013878712, 0.7875187420537, -0.787340445442, -0.7874812579795, 3.757838740525e-05, 1.617395267288e-05, 0.7875104774895, 0.7875161739359, 0, -0.7875014957995, -0.7874838260305, -0, -0, -5.551115123126e-17, -0, 0.001432598900834, 0.3941876084811, 0.3911655841687, 0.3941927389481, 0, 0.3911459001484, 0.3941824780141
0.2, 0.1974210778984, -0.0004986817589059, -0.1995435498947, -0.00049868693572, -0.004571395734318, 9.975292421256e-05, 0.0001284425110407, -0.00132788528189, 0, -25.20233352441, -12.8493531838, -30.90927629364, -33.00177969152, 7621.741513676, 3109.346388462, 7633.748846401, 3114.622243066, -88.78423232542, -71.01999533402, -88.8129991239, -71.00170731208, -236.4222364848, 0.2161923829137, 237.8689893669, 0.2161123210657, 5446.789639102, 3917.639433085, 5452.353478192, 3920.441419667, 3, -0.07059956887718, -0.7688465047487, -0.1410792175319, -1.004806081278, -0.346601168657, -0.1904471872318, -0.219975248694, -0.05828429030274, 0, 0, 0.2503491851057, -0, -0, -0, -0, -0, 0.2503491837482, 0.005009182080325, 0, 0, 0, 0, 0, 0.0002030525997274, 0.005009229897881, -0.0164602830444, 0.0002030506614097, 0.02366244774923, 0.0002030506614097, 1.123803219473, 1.123404431737, 1.123798036082, 1.123403487402, 2.775008309363, -0.1989024543105, 0.198337751162, 0, 1, 49.88258629038, 50, 49.88271559225, 0.0008470998188727, 0, 0, 0, 0, 0, 0, 0, 0, 2.776711125849, -0.1733265270075, 2.776697268271, -0.173330682333, 2.775008309363, -0.173328604674, 2.776711516859, -0.1733265270112, 0, 2.776697825654, -0.1733306823367, -0.0005349086500196, 0, -0.199367334296, -0.0001511635641755, 0.1977013508073, -0.0001511635641755, 0.7873896635225, 0.7875148376229, -0.787349174553, -0.7874851623815, 2.722717455423e-05, 1.344063854681e-05, 0.787502034761, 0.7875134406309, 0, -0.7875107090442, -0.7874865593538, -0, -0, -0, -0, 0.00143129110444, 0.3941931465585, 0.3911498052946, 0.3941959373818, 0, 0.3911387047352, 0.3941903557352
0.225, 0.1978089595415, -0.0002468326005002, -0.1995488513131, -0.0002468352273687, -0.00400772851889, 0.0001191164313578, 0.0001281812674206, -0.0009292935291078, 0, -21.57630784732, -14.87249286039, -29.65205691095, -33.53143060383, 7622.318911681, 3108.391534028, 7633.846565093, 3113.296054429, -90.0759968181, -72.25815777196, -90.08643624439, -72.25232308068, -236.9014961258, 0.2083593636778, 238.7303623146, 0.2083669640219, 5453.343240259, 3916.274497232, 5455.674261009, 3917.942209356, 3, 0.5048177038724, -0.6133181332471, 0.2038740005458, -1.08171151282, -0.3405839021462, -0.2076203630041, -0.2189598087132, -0.08465061667426, 0, 0, 0.251105824137, -0, -0, -0, -0, -0, 0.2511058233871, 0.004592669145958, 0, 0, 0, 0, 0, 0.0001208547193036, 0.0045927132529, -0.01676120708724, 0.0001208535586537, 0.0232753432907, 0.0001208535586537, 1.263927382002, 1.263439955965, 1.263921006217, 1.263437680483, 3.121336905745, -0.1989617058211, 0.1982191880593, 0, 1, 49.86249452198, 50, 49.86263442163, -0.0001504627353987, 0, 0, 0, 0, 0, 0, 0, 0, 3.123046420986, 0.1730066110234, 3.123029472573, 0.172998773219, 3.121336905745, 0.1730026921171, 3.123046819462, 0.1730066110193, 0, 3.123030020206, 0.1729987732149, -0.0006424737222482, 0, -0.1995326271606, -0.000285125786628, 0.197476616438, -0.000285125786628, 0.7873783046221, 0.7875112435073, -0.7873608236276, -0.7874887564767, 1.533782701294e-05, 1.041203853621e-05, 0.7874927263919, 0.787510412027, 0, -0.7875197128196, -0.78748958795, -0, -0, 5.551115123126e-17, -0, 0.001417963345715, 0.3941969953113, 0.3911367497172, 0.3941986563791, 0, 0.391132090713, 0.3941953342434
