Time,Alpha_L1,Alpha_L2,Alpha_R1,Alpha_R2,AVz,Ay,Ay_SM,Az_SM,Bk_Stat,FsExt_L1,FsExt_L2,FsExt_R1,FsExt_R2,Fs_L1,Fs_L2,Fs_R1,Fs_R2,Fx_L1,Fx_L2,Fx_R1,Fx_R2,Fy_L1,Fy_L2,Fy_R1,Fy_R2,Fz_L1,Fz_L2,Fz_R1,Fz_R2,GearStat,JncR_L1,JncR_L2,JncR_R1,JncR_R2,Jnc_L1,Jnc_L2,Jnc_R1,Jnc_R2,Lat_Targ,Lat_Veh,Pitch,PitchGL1,PitchGL2,PitchGR1,PitchGR2,PitchO1,Pitch_A2,Roll,RollGL1,RollGL2,RollGR1,RollGR2,RollO_1,Roll_A2,Roll_E,Roll_L1,Roll_L2,Roll_R1,Roll_R2,Rot_L1,Rot_L2,Rot_R1,Rot_R2,Station,Steer_L1,Steer_R1,Steer_SW,VisO_1,Vx,VxTarget,Vxz_Fwd,Vz_SM,W1_L1,W1_L2,W1_R1,W1_R2,W2_L1,W2_L2,W2_R1,W2_R2,Xctc_L1,Xctc_L2,Xctc_R1,Xctc_R2,Xo,X_A2,X_L1,X_L2,X_Obj_1,X_R1,X_R2,Yaw,YawO_1,Yaw_L1,Yaw_L2,Yaw_R1,Yaw_R2,Yctc_L1,Yctc_L2,Yctc_R1,Yctc_R2,Yo,Y_A2,Y_L1,Y_L2,Y_Obj_1,Y_R1,Y_R2,Zgnd_L1,Zgnd_L2,Zgnd_R1,Zgnd_R2,Zo,Z_A2,Z_L1,Z_L2,Z_Obj_1,Z_R1,Z_R2
0, 0.199998063726, -0, -0.199998063726, -0, 0, -1.557760246743e-22, 8.682271524216e-19, 0.004303002521444, 0, 0, 0, 0, 0, 7654.675257732, 3118.5147, 7654.675257732, 3118.5147, 0.3883352848696, 5.901769907657e-12, 0.3883352848696, 5.901769907657e-12, 0.02406545669712, -0, -0.02406545669712, -0, 5455.378999288, 3958.898720687, 5455.378999288, 3958.898720687, 3, 0, -0, 0, 0, 0, 0, 0, -0, 0, 0, 0.2521204935192, -0, -0, -0, -0, -0, 0.2521204935192, 0, 0, 0, 0, -0, 0, 0, 0, -0.0008800619174435, 0, 0.0008800619174435, -0, 0.0007003304375138, 0.00070033470422, 0.0007003304375138, 0.00070033470422, 0, -0.2, 0.2, 0, 1, 50, 50, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.001716103253121, -2.948299318688, 0.001716103253121, -2.948299318688, 0, -2.948299318688, 0.001716124224018, -2.948299318688, 0, 0.001716124224018, -2.948299318688, 0, 0, -0.199998063726, 0, 0.199998063726, 0, 0.7874939922467, 0.7875, -0.7874939922467, -0.7875, 0, -0, 0.7875, 0.7875, 0, -0.7875, -0.7875, -0, -0, -0, -0, 0.00113648687554, 0.3941137475684, 0.3911327111107, 0.3941137475684, 0, 0.3911327111107, 0.3941137475684
0.025, 0.1979655325011, 3.820155149329e-05, -0.1979658230568, 3.820155818642e-05, 8.248491845887e-06, -2.445720341824e-07, -1.748662139669e-06, 0.004354494298932, 0, 0, 0, 0, 0, 7652.533228945, 3118.332834393, 7652.533392795, 3118.331378865, -32.70283682811, -21.56679723641, -32.70347512646, -21.56170064112, -132.5949713402, -0.001948387287032, 132.594267553, -0.001948400706085, 5457.803869236, 3956.532149903, 5457.805197307, 3956.552530206, 3, -1.779721949272, -0.2430942798612, -1.780218379438, -0.2746338927651, -0.02247417713127, -0.003449077092245, -0.02247245763813, -0.003485355444296, 0, 0, 0.2519352667174, -0, -0, -0, -0, -0, 0.2519352667174, 1.576260981861e-07, 0, 0, 0, 0, 0, 1.476907159655e-06, 1.576276220083e-07, -0.008253092489811, 1.476892882057e-06, 0.008253380334805, 1.476892882057e-06, 0.1412638665188, 0.1412568007052, 0.1412638660765, 0.1412568018593, 0.347195583272, -0.1988708006615, 0.1988699194455, 0, 1, 49.99106667665, 50, 49.99103287123, 0.003985916333042, 0, 0, 0, 0, 0, 0, 0, 0, 0.3489079770512, -2.601110794305, 0.3489079764847, -2.601110797335, 0.347195583272, -2.60111079582, 0.3489081725685, -2.601110794305, 0, 0.348908172008, -2.601110797335, 1.850389433808e-09, 0, -0.1988364316558, -1.102242213844e-07, 0.1988355528665, -1.102242213844e-07, 0.7874418812584, 0.7875000130306, -0.7874418776685, -0.7874999869694, 1.8657630312e-09, 2.871525018183e-09, 0.7874982204016, 0.7875000028715, 0, -0.7874982187763, -0.7874999971285, -0, -0, -0, -0, 0.001154153967142, 0.3941184415537, 0.3911278766809, 0.3941184618528, 0, 0.3911278740351, 0.3941184212546
0.05, 0.1971850710696, 0.0001264364051995, -0.1972410419134, 0.0001264364875117, 5.560891749531e-05, -3.289400866697e-06, 4.434074805525e-07, 0.003558732836629, 0, 0, 0, 0, 0, 7647.326264034, 3117.824324928, 7647.316889742, 3117.740505068, -40.1869597466, -28.07290409671, -40.18806801617, -28.07373070732, -192.2203794042, -0.03863385101498, 192.2357032934, -0.038640583871, 5459.797859813, 3948.925263771, 5459.770683025, 3949.897517028, 3, -2.439743063833, -0.5420455852044, -2.450037507837, -0.6681536499613, -0.0771465783732, -0.01286318916382, -0.07724505906215, -0.01495327805202, 0, 0, 0.2514274431062, -0, -0, -0, -0, -0, 0.2514274431137, -5.550434799942e-06, 0, 0, 0, 0, 0, 7.045664279009e-05, -5.550488241681e-06, -0.01280517339984, 7.045596441273e-05, 0.01279698784726, 7.045596441273e-05, 0.2817875491789, 0.2817586814742, 0.2817875557549, 0.2817586402722, 0.6943256705751, -0.1984631382396, 0.1984644683947, 0, 1, 49.98042191582, 50, 49.98035824402, 0.007515288462027, 0, 0, 0, 0, 0, 0, 0, 0, 0.696033191896, -2.253986106557, 0.6960332122004, -2.253986262153, 0.6943256705751, -2.253986184355, 0.6960334945965, -2.253986106557, 0, 0.6960335147118, -2.253986262153, 7.31620161108e-07, 0, -0.1984081253317, -5.660323724266e-06, 0.1984109546521, -5.660323724266e-06, 0.7874116967906, 0.7875005472195, -0.7874118055039, -0.7874994527817, -6.238706072908e-08, 6.255851288827e-08, 0.7874991095013, 0.7875000625579, 0, -0.7874991623492, -0.7874999374409, 5.551115123126e-17, -0, -0, -0, 0.001204922844705, 0.3941326466324, 0.3911238988777, 0.3941336150121, 0, 0.3911239530272, 0.3941316782526
0.075, 0.1967286450105, 0.0001152055281574, -0.1969524157142, 0.0001152056287493, 0.0001500585401809, -1.479620157162e-06, 8.742889742571e-06, 0.002105057875423, 0, 0, 0, 0, 0, 7641.004952487, 3116.831173029, 7640.938177235, 3116.585598077, -50.04413962726, -36.61916862989, -50.04466495021, -36.63307568089, -218.0208255713, -0.06387613740397, 218.120589482, -0.06390961410056, 5454.020488703, 3939.973717697, 5453.788796235, 3942.464948418, 3, -2.913983991359, -0.9266404727619, -2.956703844025, -1.122848166278, -0.143596432803, -0.03125759603359, -0.1442988226595, -0.03738636635298, 0, 0, 0.2506167542223, -0, -0, -0, -0, -0, 0.2506167542785, -4.234271151731e-05, 0, 0, 0, 0, 0, 0.0001805329433022, -4.23431165845e-05, -0.01580996559497, 0.0001805312162689, 0.01574630767917, 0.0001805312162689, 0.4222668848948, 0.4222053314872, 0.4222669133725, 0.4222052021877, 1.041380301463, -0.1983451000687, 0.1983464098474, 0, 1, 49.96821884959, 50, 49.96813284358, 0.01006122142957, 0, 0, 0, 0, 0, 0, 0, 0, 1.043080868873, -1.906940232644, 1.04308095258, -1.906940657304, 1.041380301463, -1.906940444974, 1.043081242363, -1.906940232644, 0, 1.043081324582, -1.906940657304, 3.177757473142e-06, 0, -0.1982746655806, -1.544840377574e-05, 0.1982826092558, -1.544840377574e-05, 0.7873931231237, 0.7875012552596, -0.7873939596672, -0.7874987447482, -4.761507876096e-07, 1.334583987582e-08, 0.7875010508008, 0.7875000133419, 0, -0.7875014529065, -0.7874999866502, -5.551115123126e-17, -0, -0, -0, 0.001283357314844, 0.39414896547, 0.3911354024625, 0.3941514467755, 0, 0.391135864121, 0.3941464841645
0.1, 0.1964655566185, 4.60842915963e-05, -0.1968851983721, 4.608433657628e-05, 0.0003087385014684, 8.510828230514e-06, 2.312149651581e-05, 0.0004170160954031, 0, 0, 0, 0, 0, 7633.468363247, 3115.360396054, 7633.232258176, 3114.882721922, -60.47725331913, -45.85740924327, -60.47491604816, -45.88370849293, -228.6323827826, -0.05620759656805, 228.9046078256, -0.05626575990131, 5446.777852204, 3932.474415502, 5446.028462109, 3936.465004706, 3, -3.383199113416, -1.237918678057, -3.488204056386, -1.507350831837, -0.2229298246479, -0.05854623330449, -0.2254170515422, -0.07048244032565, 0, 0, 0.2496158088259, -0, -0, -0, -0, -0, 0.2496158090013, -0.0001448783901947, 0, 0, 0, 0, 0, 0.0002891874900822, -0.00014487976511, -0.01834222565116, 0.0002891847456802, 0.01812698001799, 0.0002891847456802, 0.5626946030497, 0.5625874032604, 0.5626946571548, 0.5625871852755, 1.388346296226, -0.1984687239672, 0.1984081455415, 0, 1, 49.95420589557, 50, 49.95412184208, 0.01116169275573, 0, 0, 0, 0, 0, 0, 0, 0, 1.390038532726, -1.559985404803, 1.390038715297, -1.559986153255, 1.388346296226, -1.55998577903, 1.390038966288, -1.559985404803, 0, 1.390039143682, -1.559986153256, 8.770271874608e-06, 0, -0.1983819272332, -2.722742067843e-05, 0.1983398262152, -2.722742067843e-05, 0.7873783396051, 0.7875016341122, -0.7873811208941, -0.7874983659077, -1.594616980759e-06, -3.55324498784e-07, 0.7875035585244, 0.7874996446654, 0, -0.7875048708447, -0.7875003553144, 5.551115123126e-17, -0, -0, -0, 0.001378482576436, 0.394162410931, 0.3911498248725, 0.3941663856215, 0, 0.391151318149, 0.3941584362406
0.125, 0.1964852670647, -4.401578084485e-05, -0.1972323852045, -4.401582267857e-05, 0.0005367402521109, 2.469801708091e-05, 4.059823859815e-05, -0.0008796213552285, 0, 0, 0, 0, 0, 7625.324691436, 3113.543454676, 7624.742350606, 3112.759418643, -70.3178173023, -54.62585850343, -70.30919369342, -54.66258362921, -232.7521620013, -0.02317959241821, 233.262833165, -0.02323170253992, 5442.468746378, 3926.769562067, 5440.899329988, 3931.961804788, 3, -3.395324750786, -1.441541906425, -3.585269715682, -1.786496713471, -0.308783746925, -0.09224153159424, -0.3149281264977, -0.1118634731384, 0, 0, 0.2486567392204, -0, -0, -0, -0, -0, 0.2486567395955, -0.0003372932054417, 0, 0, 0, 0, 0, 0.0003762681284166, -0.0003372963818491, -0.02075885613432, 0.0003762645850021, 0.02025198124889, 0.0003762645850021, 0.7030649816349, 0.7028990945274, 0.7030651463804, 0.7028988225347, 1.735208218323, -0.1986653619961, 0.1986560615376, 0, 1, 49.93838182149, 50, 49.93832973461, 0.01091869025184, 0, 0, 0, 0, 0, 0, 0, 0, 1.736892300893, -1.213135067192, 1.736892777473, -1.213136154173, 1.735208218323, -1.213135610684, 1.736892792024, -1.213135067194, 0, 1.736893256691, -1.213136154174, 1.919600262237e-05, 0, -0.1985579463342, -3.954247535022e-05, 0.1985892367679, -3.954247535022e-05, 0.7873644487906, 0.787501442703, -0.78737075138, -0.7874985573306, -3.599556627499e-06, -1.145867150032e-06, 0.7875061686988, 0.7874988541157, 0, -0.7875090119779, -0.78750114585, 5.551115123126e-17, -0, -0, -0, 0.001475517965177, 0.3941725783114, 0.3911584031186, 0.3941777498679, 0, 0.3911615306843, 0.3941674067549
0.15, 0.1967937052337, -0.0001292393271505, -0.1977080203342, -0.0001292394228562, 0.0008303629622188, 4.232186059267e-05, 5.661139243595e-05, -0.001680543465316, 0, 0, 0, 0, 0, 7617.741421893, 3111.505153433, 7616.603959365, 3110.344116109, -78.65251374078, -62.06616385379, -78.63780807618, -62.11055488466, -234.3241998876, 0.02119935327418, 235.0775092169, 0.02118898250828, 5441.266502853, 3922.162657252, 5438.679843723, 3928.147096399, 3, -2.94934845954, -1.569470963646, -3.228495658732, -1.980741924029, -0.3888487339187, -0.1299977663782, -0.4008679424265, -0.1591051604075, 0, 0, 0.2479666991182, -0, -0, -0, -0, -0, 0.2479666997596, -0.0006248277621656, 0, 0, 0, 0, 0, 0.000433676490255, -0.0006248336137728, -0.02299324757025, 0.0004336724288466, 0.02206221304438, 0.0004336724288466, 0.8433742656969, 0.8431380093455, 0.8433745533214, 0.8431377458861, 2.08195136518, -0.1988987514574, 0.1988336416193, 0, 1, 49.92093575731, 50, 49.92093789145, 0.009755985180774, 0, 0, 0, 0, 0, 0, 0, 0, 2.083629180528, -0.8664020198584, 2.083630036813, -0.8664034059169, 2.08195136518, -0.8664027128903, 2.083629725093, -0.866402019861, 0, 2.083630559363, -0.8664034059195, 3.616539266332e-05, 0, -0.1987649385767, -5.042241266935e-05, 0.198776186639, -5.042241266935e-05, 0.7873514427344, 0.7875006396355, -0.7873625911134, -0.787499360409, -6.417399329667e-06, -2.343947074037e-06, 0.7875084177049, 0.7874976560301, 0, -0.7875132118926, -0.7875023439242, -0, -0, -0, -0, 0.001561889845833, 0.3941809663695, 0.3911607922017, 0.3941869269663, 0, 0.3911659474079, 0.3941750057728
0.175, 0.1972936246507, -0.0001945577145163, -0.1982786603318, -0.0001945577747244, 0.001174633976599, 5.733293713534e-05, 6.784554645496e-05, -0.002095616249307, 0, 0, 0, 0, 0, 7611.566053358, 3109.326281342, 7609.67649161, 3107.733308192, -84.8630959216, -67.62528755529, -84.84162266648, -67.67430141658, -235.0702284376, 0.06463336487913, 236.0188736665, 0.06468363779119, 5442.459577973, 3918.219605207, 5438.773626307, 3924.572707276, 3, -2.246194344266, -1.650437728396, -2.601323233178, -2.106968598425, -0.4541321317102, -0.1703350117196, -0.4741224960128, -0.2103446383159, 0, 0, 0.2476808452896, -0, -0, -0, -0, -0, 0.2476808462257, -0.0009945759576546, 0, 0, 0, 0, 0, 0.0004603925080086, -0.0009945852505472, -0.02491792944712, 0.000460388206338, 0.02344393414039, 0.000460388206338, 0.9836208192083, 0.983304808832, 0.9836212977612, 0.9833046374945, 2.428563940777, -0.1991420684392, 0.1990234134619, 0, 1, 49.9021942027, 50, 49.90225859832, 0.008064597792589, 0, 0, 0, 0, 0, 0, 0, 0, 2.430238412468, -0.5197969141756, 2.430239849812, -0.5197984888009, 2.428563940777, -0.5197977014914, 2.430239003237, -0.5197969141788, 0, 2.430240405672, -0.5197984888041, 6.114762874034e-05, 0, -0.1989750665104, -5.728214763067e-05, 0.1989850747255, -5.728214763067e-05, 0.7873400091159, 0.7874993208129, -0.7873568262362, -0.7875006792372, -9.759499264209e-06, -3.846630730117e-06, 0.7875101228587, 0.7874961533435, 0, -0.7875168800748, -0.7875038466049, -0, -0, -0, -0, 0.001629851561626, 0.3941884538593, 0.3911584100644, 0.3941947816502, 0, 0.3911657568439, 0.3941821260684
0.2, 0.1977820346162, -0.000233769639771, -0.1987676277017, -0.0002337695597309, 0.001545731640623, 6.677692777275e-05, 7.221609157233e-05, -0.002201221527378, 0, 0, 0, 0, 0, 7607.186978517, 3107.070252445, 7604.395039571, 3105.016132341, -88.63459424116, -71.03007505817, -88.60559534174, -71.08085384378, -235.6994682547, 0.09905983355088, 236.7567415068, 0.09916670644605, 5445.291162872, 3915.164045502, 5440.538340319, 3921.505433925, 3, -1.458892263638, -1.683517682153, -1.864512903269, -2.156003280422, -0.5004703907839, -0.212127391913, -0.5300330371301, -0.2638168043975, 0, 0, 0.2478201478039, -0, -0, -0, -0, -0, 0.2478201490113, -0.001420163949154, 0, 0, 0, 0, 0, 0.0004595436559027, -0.00142017723349, -0.02645630088986, 0.0004595393573321, 0.02435703984554, 0.0004595393573321, 1.123804978299, 1.123402693304, 1.123805744412, 1.123402711668, 2.775038070986, -0.1992642486098, 0.1991402228676, 0, 1, 49.88256529862, 50, 49.88268486574, 0.006147135748304, 0, 0, 0, 0, 0, 0, 0, 0, 2.776712235549, -0.1733273285195, 2.776714517572, -0.1733289035614, 2.775038070986, -0.1733281160436, 2.776712863038, -0.1733273285226, 0, 2.776715095503, -0.1733289035646, 9.512147111364e-05, 0, -0.1990565623302, -5.729730717647e-05, 0.1991318540289, -5.729730717647e-05, 0.7873307445288, 0.7874976619545, -0.7873533046678, -0.7875023380954, -1.320645919859e-05, -5.499697929587e-06, 0.7875113580681, 0.7874945002763, 0, -0.7875195908646, -0.7875054996722, -5.551115123126e-17, 5.551115123126e-17, -0, -0, 0.001676390715937, 0.3941945522986, 0.3911527647491, 0.3942008684226, 0, 0.3911622388773, 0.3941882361747
0.225, 0.1982528466471, -0.0002472330868093, -0.1991884083898, -0.0002472327965902, 0.001912803023568, 6.990168177039e-05, 6.9811098082e-05, -0.002039869383047, 0, 0, 0, 0, 0, 7604.635135225, 3104.816100713, 7600.859290047, 3102.302860977, -89.91427091076, -72.24546954401, -89.87966473038, -72.29559782062, -236.4460516333, 0.1207138690696, 237.5186453753, 0.1208569218976, 5448.902763784, 3913.54356987, 5443.21634579, 3919.567814809, 3, -0.7202166395129, -1.65035361736, -1.144077114304, -2.106011453073, -0.527490187475, -0.2539587278116, -0.5674926666274, -0.3173192212372, 0, 0, 0.2483099987587, -0, -0, -0, -0, -0, 0.248310000165, -0.001867567504877, 0, 0, 0, 0, 0, 0.0004365611221546, -0.001867585043394, -0.02757516418573, 0.0004365570224031, 0.02481836731176, 0.0004365570224031, 1.26392883781, 1.263436769607, 1.263930001077, 1.263437082749, 3.121369965166, -0.1993236265981, 0.1992609431431, 0, 1, 49.8624878296, 50, 49.86264436946, 0.004257385090363, 0, 0, 0, 0, 0, 0, 0, 0, 3.123046397113, 0.1730025962587, 3.123049814555, 0.1730012793625, 3.121369965166, 0.1730019378081, 3.123047051164, 0.1730025962562, 0, 3.123050403902, 0.17300127936, 0.0001383829215172, 0, -0.1990676124265, -4.790640938524e-05, 0.1992936359668, -4.790640938524e-05, 0.7873240927194, 0.7874958721529, -0.7873516403913, -0.7875041278923, -1.629708704871e-05, -7.131405912854e-06, 0.7875123411218, 0.787492868571, 0, -0.7875210737711, -0.7875071313828, -0, -0, -0, -0, 0.001702372496121, 0.394198096219, 0.3911455667242, 0.3942040964629, 0, 0.3911569028539, 0.394192095975
